api_id,api_name,namespace,api_type,num_sections,related_concepts
DevExpress.ExpressApp.Actions.CustomizePopupWindowParamsEventArgs,CustomizePopupWindowParamsEventArgs,DevExpress.ExpressApp.Actions,delegate,4,"['XAF Application', 'Popup Window Show Action', 'Actions']"
DevExpress.ExpressApp.Actions.CustomizePopupWindowParamsEventHandler,CustomizePopupWindowParamsEventHandler,DevExpress.ExpressApp.Actions,delegate,1,"['Popup Window Show Action', 'Actions']"
DevExpress.ExpressApp.Actions.ParametrizedActionExecuteEventArgs,ParametrizedActionExecuteEventArgs,DevExpress.ExpressApp.Actions,delegate,3,"['Property Editors', 'Views', 'Actions', 'Parametrized Action']"
DevExpress.ExpressApp.Actions.ParametrizedActionExecuteEventHandler,ParametrizedActionExecuteEventHandler,DevExpress.ExpressApp.Actions,delegate,1,"['Actions', 'Parametrized Action']"
DevExpress.ExpressApp.Actions.PopupWindowShowActionExecuteEventArgs,PopupWindowShowActionExecuteEventArgs,DevExpress.ExpressApp.Actions,delegate,3,"['Popup Window Show Action', 'Actions', 'Views']"
DevExpress.ExpressApp.Actions.PopupWindowShowActionExecuteEventHandler,PopupWindowShowActionExecuteEventHandler,DevExpress.ExpressApp.Actions,delegate,1,"['Popup Window Show Action', 'Actions']"
DevExpress.ExpressApp.Actions.SimpleActionExecuteEventArgs,SimpleActionExecuteEventArgs,DevExpress.ExpressApp.Actions,delegate,5,"['Parametrized Action', 'Views', 'Actions', 'Simple Action', 'Popup Window Show Action']"
DevExpress.ExpressApp.Actions.SimpleActionExecuteEventHandler,SimpleActionExecuteEventHandler,DevExpress.ExpressApp.Actions,delegate,3,"['Simple Action', 'Actions', 'Controllers']"
DevExpress.ExpressApp.Actions.SingleChoiceActionExecuteEventArgs,SingleChoiceActionExecuteEventArgs,DevExpress.ExpressApp.Actions,delegate,6,"['Views', 'Actions', 'Navigation']"
DevExpress.ExpressApp.Actions.SingleChoiceActionExecuteEventHandler,SingleChoiceActionExecuteEventHandler,DevExpress.ExpressApp.Actions,delegate,1,['Actions']
DevExpress.Persistent.Validation.CodeRuleAttribute._membersaltText,_membersaltText,DevExpress.Persistent.Validation.CodeRuleAttribute,class,1,"['Business Objects', 'Validation']"
DevExpress.Persistent.Validation.CodeRuleAttribute,CodeRuleAttribute,DevExpress.Persistent.Validation,property,1,"['Business Objects', 'Validation']"
DevExpress.Persistent.Validation.ContextIdentifier,ContextIdentifier,DevExpress.Persistent.Validation,class,8,['Validation']
DevExpress.Persistent.Validation.ContextIdentifier.CompareTo,CompareTo,DevExpress.Persistent.Validation.ContextIdentifier,class,1,['Validation']
DevExpress.Persistent.Validation.ContextIdentifier._membersaltText,_membersaltText,DevExpress.Persistent.Validation.ContextIdentifier,class,1,['Validation']
DevExpress.Persistent.Validation.ContextIdentifier.Equals,Equals,DevExpress.Persistent.Validation.ContextIdentifier,class,2,['Validation']
DevExpress.Persistent.Validation.ContextIdentifier.GetHashCode,GetHashCode,DevExpress.Persistent.Validation.ContextIdentifier,method,1,['Validation']
DevExpress.Persistent.Validation.ContextIdentifier.ToString,ToString,DevExpress.Persistent.Validation.ContextIdentifier,property,1,['Validation']
DevExpress.Persistent.Validation.ContextIdentifiers,ContextIdentifiers,DevExpress.Persistent.Validation,class,41,"['Object Space', 'Actions', 'Validation', 'WinForms', 'Controllers']"
DevExpress.Persistent.Validation.ContextIdentifiers.Contains,Contains,DevExpress.Persistent.Validation.ContextIdentifiers,class,1,['Validation']
DevExpress.Persistent.Validation.ContextIdentifiers._membersaltText,_membersaltText,DevExpress.Persistent.Validation.ContextIdentifiers,class,1,['Validation']
DevExpress.Persistent.Validation.ContextIdentifiers.Equals,Equals,DevExpress.Persistent.Validation.ContextIdentifiers,class,2,['Validation']
DevExpress.Persistent.Validation.ContextIdentifiers.GetHashCode,GetHashCode,DevExpress.Persistent.Validation.ContextIdentifiers,method,1,['Validation']
DevExpress.Persistent.Validation.ContextIdentifiers.Item,Item,DevExpress.Persistent.Validation.ContextIdentifiers,class,1,['Validation']
DevExpress.Persistent.Validation.ContextIdentifiers.ToString,ToString,DevExpress.Persistent.Validation.ContextIdentifiers,property,1,['Validation']
DevExpress.Persistent.Validation.CriteriaEvaluationBehavior,CriteriaEvaluationBehavior,DevExpress.Persistent.Validation,property,5,"['Validation', 'Criteria']"
DevExpress.Persistent.Validation.CustomIsEmptyValueEventArgs,CustomIsEmptyValueEventArgs,DevExpress.Persistent.Validation,delegate,2,['Validation']
DevExpress.ExpressApp.IObjectSpace,IObjectSpace,DevExpress.ExpressApp,interface,364,"['Detail View', 'Entity Framework Core', 'Object Space', 'Property Editors', 'Business Objects', 'Actions', 'Security System', 'Dashboards', 'Middle Tier', 'Modules', 'List View', 'Navigation', 'Logging', '.NET Runtime', 'Tenant', 'Model Nodes', 'Authorization', 'Views', 'Layout', 'Security Strategy', 'Performance Optimization', 'Window Controller', 'ApplicationBuilder', 'Scheduler', 'Multi-Tenancy', 'Collection Property', 'XAF Application', 'WinForms', 'Mail Merge', 'Lookup View', 'Reference Property', 'Template Kit', 'Authentication', 'Application Model', 'Parametrized Action', 'Permission Policies', 'Dashboard View', 'Object Space Provider', 'Blazor UI', 'Simple Action', 'Reports', 'View Controller', 'Controllers', 'PivotGrid', 'Testing', 'Criteria', 'XPO', 'Validation', 'Popup Window Show Action']"
DevExpress.Persistent.Validation.CustomNeedToValidateRuleEventArgs,CustomNeedToValidateRuleEventArgs,DevExpress.Persistent.Validation,delegate,2,"['Validation', 'Object Space']"
DevExpress.Persistent.Validation.IRule,IRule,DevExpress.Persistent.Validation,interface,34,"['Application Model', 'Authentication', 'Entity Framework Core', 'Performance Optimization', 'Object Space', 'Business Objects', 'Object Space Provider', 'Actions', 'Validation', 'XAF Application']"
DevExpress.Persistent.Validation.CustomNeedToValidateRuleEventArgs._membersaltText,_membersaltText,DevExpress.Persistent.Validation.CustomNeedToValidateRuleEventArgs,class,1,['Validation']
DevExpress.Persistent.Validation.CustomValidateRuleEventArgs,CustomValidateRuleEventArgs,DevExpress.Persistent.Validation,delegate,2,"['Validation', 'Object Space']"
DevExpress.Persistent.Validation.CustomValidateRuleEventArgs._membersaltText,_membersaltText,DevExpress.Persistent.Validation.CustomValidateRuleEventArgs,class,1,['Validation']
DevExpress.Persistent.Validation.GenerateMessageTemplatesModelAttribute,GenerateMessageTemplatesModelAttribute,DevExpress.Persistent.Validation,class,2,['Validation']
DevExpress.Persistent.Validation.GenerateMessageTemplatesModelAttribute._membersaltText,_membersaltText,DevExpress.Persistent.Validation.GenerateMessageTemplatesModelAttribute,class,1,['Validation']
DevExpress.Persistent.Validation.GenerateMessageTemplatesModelAttribute.MessageTemplatePropertyName,MessageTemplatePropertyName,DevExpress.Persistent.Validation.GenerateMessageTemplatesModelAttribute,property,1,['Validation']
DevExpress.Persistent.Validation.IEmptyCheckable._membersaltText,_membersaltText,DevExpress.Persistent.Validation.IEmptyCheckable,class,1,['Validation']
DevExpress.Persistent.Validation.IEmptyCheckable,IEmptyCheckable,DevExpress.Persistent.Validation,interface,1,['Validation']
DevExpress.Persistent.Validation.RuleRequiredFieldAttribute,RuleRequiredFieldAttribute,DevExpress.Persistent.Validation,class,8,"['Business Objects', 'Application Model', 'Validation', 'Entity Framework Core']"
DevExpress.Persistent.Validation.IEmptyCheckable.IsEmpty,IsEmpty,DevExpress.Persistent.Validation.IEmptyCheckable,property,1,"['Business Objects', 'Validation', 'Entity Framework Core']"
DevExpress.Persistent.Validation.IModelValidationDefaultErrorMessageTemplates._membersaltText,_membersaltText,DevExpress.Persistent.Validation.IModelValidationDefaultErrorMessageTemplates,class,1,"['Application Model', 'Validation']"
DevExpress.Persistent.Validation.IModelValidationDefaultErrorMessageTemplates,IModelValidationDefaultErrorMessageTemplates,DevExpress.Persistent.Validation,interface,1,"['Application Model', 'Validation']"
DevExpress.Persistent.Validation.IRule.Id,Id,DevExpress.Persistent.Validation.IRule,property,1,['Validation']
DevExpress.Persistent.Validation.IRule._membersaltText,_membersaltText,DevExpress.Persistent.Validation.IRule,class,1,['Validation']
DevExpress.Persistent.Validation.IRule.Properties,Properties,DevExpress.Persistent.Validation.IRule,property,1,"['Application Model', 'Validation']"
DevExpress.Persistent.Validation.IRuleBaseProperties,IRuleBaseProperties,DevExpress.Persistent.Validation,interface,7,"['Application Model', 'Validation']"
DevExpress.Persistent.Validation.IRule.UsedProperties,UsedProperties,DevExpress.Persistent.Validation.IRule,property,1,"['Property Editors', 'Views', 'Validation']"
DevExpress.Persistent.Validation.IRule.Validate,Validate,DevExpress.Persistent.Validation.IRule,class,1,['Validation']
DevExpress.Persistent.Validation.RuleValidationResult,RuleValidationResult,DevExpress.Persistent.Validation,property,4,"['Validation', 'Object Space']"
DevExpress.Persistent.Validation.IRuleBaseProperties.CustomMessageTemplate,CustomMessageTemplate,DevExpress.Persistent.Validation.IRuleBaseProperties,property,1,['Validation']
DevExpress.Persistent.Validation.RuleBaseAttribute.CustomMessageTemplate,CustomMessageTemplate,DevExpress.Persistent.Validation.RuleBaseAttribute,class,5,"['Application Model', 'Entity Framework Core', 'Property Editors', 'Validation', 'XAF Application']"
DevExpress.Persistent.Validation.IRuleBaseProperties.Id,Id,DevExpress.Persistent.Validation.IRuleBaseProperties,property,1,"['Application Model', 'Validation']"
DevExpress.Persistent.Validation.IRuleBaseProperties.InvertResult,InvertResult,DevExpress.Persistent.Validation.IRuleBaseProperties,property,1,['Validation']
DevExpress.Persistent.Validation.RuleBaseAttribute.InvertResult,InvertResult,DevExpress.Persistent.Validation.RuleBaseAttribute,class,3,['Validation']
DevExpress.Persistent.Validation.IRuleBaseProperties._membersaltText,_membersaltText,DevExpress.Persistent.Validation.IRuleBaseProperties,class,1,"['Application Model', 'Validation']"
DevExpress.Persistent.Validation.IRuleBaseProperties.MessageTemplateSkipNullOrEmptyValues,MessageTemplateSkipNullOrEmptyValues,DevExpress.Persistent.Validation.IRuleBaseProperties,property,1,"['Application Model', 'Validation']"
DevExpress.Persistent.Validation.IRuleBaseProperties.MessageTemplateTargetDoesNotSatisfyTargetCriteria,MessageTemplateTargetDoesNotSatisfyTargetCriteria,DevExpress.Persistent.Validation.IRuleBaseProperties,property,1,"['Application Model', 'Validation', 'Criteria']"
DevExpress.Persistent.Validation.RuleBaseAttribute.TargetCriteria,TargetCriteria,DevExpress.Persistent.Validation.RuleBaseAttribute,class,5,"['Application Model', 'Entity Framework Core', 'Criteria', 'Business Objects', 'Validation']"
DevExpress.Persistent.Validation.IRuleBaseProperties.Name,Name,DevExpress.Persistent.Validation.IRuleBaseProperties,property,1,"['Application Model', 'Validation']"
DevExpress.Persistent.Validation.IRuleBaseProperties.ResultType,ResultType,DevExpress.Persistent.Validation.IRuleBaseProperties,property,1,['Validation']
DevExpress.Persistent.Validation.ValidationResultType,ValidationResultType,DevExpress.Persistent.Validation,property,5,['Validation']
DevExpress.Persistent.Validation.IRuleBaseProperties.SkipNullOrEmptyValues,SkipNullOrEmptyValues,DevExpress.Persistent.Validation.IRuleBaseProperties,property,1,['Validation']
DevExpress.Persistent.Validation.RuleBaseAttribute.SkipNullOrEmptyValues,SkipNullOrEmptyValues,DevExpress.Persistent.Validation.RuleBaseAttribute,class,3,['Validation']
DevExpress.Persistent.Validation.IRuleBaseProperties.TargetContextIDs,TargetContextIDs,DevExpress.Persistent.Validation.IRuleBaseProperties,property,1,"['Application Model', 'Validation']"
DevExpress.Persistent.Validation.RuleBaseAttribute.TargetContextIDs,TargetContextIDs,DevExpress.Persistent.Validation.RuleBaseAttribute,class,3,"['Actions', 'Application Model', 'Validation', 'Criteria']"
DevExpress.Persistent.Validation.IRuleBaseProperties.TargetCriteria,TargetCriteria,DevExpress.Persistent.Validation.IRuleBaseProperties,property,1,"['Validation', 'Criteria']"
DevExpress.Persistent.Validation.IRuleBaseProperties.TargetType,TargetType,DevExpress.Persistent.Validation.IRuleBaseProperties,property,1,"['Application Model', 'Validation']"
DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties._membersaltText,_membersaltText,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties,class,1,"['Application Model', 'Validation']"
DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties,IRuleCollectionPropertyProperties,DevExpress.Persistent.Validation,interface,1,"['Application Model', 'Validation']"
DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties.MessageTemplateCollectionValidationMessageSuffix,MessageTemplateCollectionValidationMessageSuffix,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties,property,1,"['Validation', 'Collection Property']"
DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties.MessageTemplateTargetDoesNotSatisfyCollectionCriteria,MessageTemplateTargetDoesNotSatisfyCollectionCriteria,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties,property,1,"['Validation', 'Views', 'Actions', 'Detail View']"
DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties.TargetCollectionOwnerType,TargetCollectionOwnerType,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties,property,1,"['Validation', 'Collection Property']"
DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties.TargetCollectionPropertyName,TargetCollectionPropertyName,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties,property,1,"['Validation', 'Collection Property']"
DevExpress.Persistent.Validation.IRuleSet.DropCachedRules,DropCachedRules,DevExpress.Persistent.Validation.IRuleSet,property,1,['Validation']
DevExpress.Persistent.Validation.IRuleSet.FindRule,FindRule,DevExpress.Persistent.Validation.IRuleSet,method,1,['Validation']
DevExpress.Persistent.Validation.IRuleSet.GetRules,GetRules,DevExpress.Persistent.Validation.IRuleSet,method,5,['Validation']
DevExpress.Persistent.Validation.IRuleSet,IRuleSet,DevExpress.Persistent.Validation,interface,7,"['Application Model', 'Views', 'XAF Application', 'Business Objects', 'Actions', 'Validation', 'Dependency Injection', 'Controllers']"
DevExpress.Persistent.Validation.IRuleSet._membersaltText,_membersaltText,DevExpress.Persistent.Validation.IRuleSet,class,1,"['Application Model', 'Business Objects', 'Actions', 'Validation', 'Dependency Injection', 'Controllers']"
DevExpress.Persistent.Validation.IValidator,IValidator,DevExpress.Persistent.Validation,interface,2,"['Application Model', 'Views', 'XAF Application', 'Business Objects', 'Actions', 'Validation', 'Dependency Injection', 'Controllers']"
DevExpress.ExpressApp.XafApplication,XafApplication,DevExpress.ExpressApp,class,163,"['Detail View', 'Entity Framework Core', 'Object Space', 'Property Editors', 'Business Objects', 'Actions', 'Modules', 'Security System', 'Dashboards', 'List View', 'Navigation', 'Tenant', '.NET Runtime', 'Views', 'Layout', 'Window Controller', 'Security Strategy', 'ApplicationBuilder', 'Scheduler', 'Audit Trail', 'XAF Application', 'WinForms', 'Notifications', 'Template Kit', 'Application Model', 'Dashboard View', 'Object Space Provider', 'Blazor UI', 'List Editors', 'Simple Action', 'Reports', 'View Controller', 'Controllers', 'PivotGrid', 'Web API Service', 'XPO', 'Migration', 'Validation', 'Popup Window Show Action']"
DevExpress.Persistent.Validation,Validation,DevExpress.Persistent,class,44,"['Detail View', 'Entity Framework Core', 'Object Space', 'Property Editors', 'Actions', 'Modules', 'Views', 'Window Controller', 'XAF Application', 'WinForms', 'Application Model', 'File Attachments', 'Blazor UI', 'Simple Action', 'View Controller', 'Controllers', 'Criteria', 'XPO', 'Validation']"
DevExpress.ExpressApp,ExpressApp,DevExpress,class,331,"['Detail View', 'Entity Framework Core', 'Dialog Controller', 'Object Space', 'Property Editors', 'Business Objects', 'Actions', 'Modules', 'Security System', 'Dependency Injection', 'List View', 'Navigation', 'Logging', '.NET Runtime', 'Model Nodes', 'Views', 'Layout', 'Window Controller', 'Security Strategy', 'Scheduler', 'XAF Application', 'WinForms', 'Lookup View', 'Notifications', 'Reference Property', 'Application Model', 'Authentication', 'Parametrized Action', 'Dashboard View', 'Object Space Provider', 'Blazor UI', 'List Editors', 'Simple Action', 'Reports', 'View Controller', 'Controllers', 'Criteria', 'XPO', 'Validation', 'Popup Window Show Action']"
DevExpress.ExpressApp.Actions,Actions,DevExpress.ExpressApp,class,137,"['Detail View', 'Entity Framework Core', 'Dialog Controller', 'Object Space', 'Property Editors', 'Business Objects', 'Actions', 'Security System', 'Dependency Injection', 'List View', '.NET Runtime', 'Model Nodes', 'Views', 'Window Controller', 'XAF Application', 'WinForms', 'Application Model', 'Parametrized Action', 'Blazor UI', 'Simple Action', 'Reports', 'View Controller', 'Controllers', 'Criteria', 'XPO', 'Validation', 'Popup Window Show Action']"
DevExpress.ExpressApp.Validation,Validation,DevExpress.ExpressApp,class,12,"['Entity Framework Core', 'XAF Application', 'Views', 'Window Controller', 'Object Space', 'Performance Optimization', 'Model Nodes', 'Actions', 'Validation', 'Modules', 'Dependency Injection', 'View Controller', 'Controllers']"
DevExpress.Persistent.Validation.IRuleSet.RegisteredRules,RegisteredRules,DevExpress.Persistent.Validation.IRuleSet,property,1,['Validation']
DevExpress.Persistent.Validation.IRuleSet.Validate,Validate,DevExpress.Persistent.Validation.IRuleSet,class,2,"['Validation', 'Object Space']"
DevExpress.Persistent.Validation.ValidationFailedDelegate,ValidationFailedDelegate,DevExpress.Persistent.Validation,class,8,"['Object Space', 'Actions', 'Validation', 'WinForms', 'Controllers']"
DevExpress.ExpressApp.Frame,Frame,DevExpress.ExpressApp,class,46,"['Application Model', 'Detail View', 'Views', 'Object Space', 'Property Editors', 'Actions', 'Validation', 'List Editors', 'Simple Action', 'XAF Application', 'WinForms', 'List View', 'View Controller', 'Controllers']"
DevExpress.ExpressApp.FramedefaultValue,FramedefaultValue,DevExpress.ExpressApp,class,4,"['Views', 'Object Space', 'Actions', 'Validation', 'Simple Action', 'WinForms', 'View Controller', 'Controllers']"
DevExpress.Persistent.Validation.IRuleSet.ValidateAll,ValidateAll,DevExpress.Persistent.Validation.IRuleSet,class,2,"['Object Space', 'Actions', 'Validation', 'WinForms', 'Controllers']"
