api_name,namespace,api_type,num_sections
EasyTest,DevExpress.EasyTest.Framework,class,8
GetKeyProperty,DevExpress.ExpressApp.BaseObjectSpace,method,4
PrintableComponentLink,DevExpress.XtraPrinting,class,2
FirstOrDefault0,DevExpress.ExpressApp.BaseObjectSpace,class,2
ExportOptionsBase,DevExpress.XtraPrinting,class,2
EmptyEntriesMode,DevExpress.Persistent.Base.CustomFormatObjectEventArgs,enum,2
CustomGetValueEventArgs,DevExpress.Persistent.Base,delegate,2
CustomFormatObjectEventArgs,DevExpress.Persistent.Base,delegate,2
IValueManager,DevExpress.Persistent.Base,interface,2
GetKeyProperty,DevExpress.ExpressApp.IObjectSpace,method,2
ObjectsManipulatingEventArgs,DevExpress.ExpressApp,delegate,2
Main,DevExpress.EasyTest.Framework,class,2
FirstOrDefault0,DevExpress.ExpressApp.IObjectSpace,class,2
CompatibilityError,DevExpress.ExpressApp.Updating,class,2
Item,DevExpress.ExpressApp.XafDataViewRecord,class,2
GetProperties,DevExpress.ExpressApp.XafDataViewRecord,method,2
GetEvents,DevExpress.ExpressApp.XafDataViewRecord,method,2
GetEnumerable,DevExpress.ExpressApp.CollectionSourceBase,method,2
DatabaseVersionMismatchEventArgs,DevExpress.ExpressApp,delegate,2
GetObjectKey,DevExpress.ExpressApp.BaseObjectSpace,method,2
Content,DevExpress.Persistent.BaseImpl.EF.ReportDataV2,class,1
MediaData,DevExpress.Persistent.BaseImpl.EF.MediaDataObject,class,1
MediaResourceObject,DevExpress.Persistent.BaseImpl.EF,class,1
MediaResource,DevExpress.Persistent.BaseImpl.EF.MediaDataObject,class,1
MediaDataKey,DevExpress.Persistent.BaseImpl.EF.MediaDataObject,class,1
FilterCaption,DevExpress.Persistent.Base.FileTypeFilterAttribute,class,1
Value,DevExpress.Persistent.Base.CustomGetValueEventArgs,class,1
GetExtensions,DevExpress.Persistent.Base.FileTypeFilterAttribute,method,1
Index,DevExpress.Persistent.Base.FileTypeFilterAttribute,class,1
Clear,DevExpress.Persistent.Base.IValueManagerBase,class,1
GCRecord,DevExpress.Persistent.BaseImpl.EF.MediaDataObject,class,1
GCRecord,DevExpress.Persistent.BaseImpl.EF.BaseObject,class,1
StoredPassword,DevExpress.Persistent.BaseImpl.EF.PermissionPolicy.PermissionPolicyUser,class,1
ComparePassword,DevExpress.Persistent.BaseImpl.PermissionPolicy.PermissionPolicyUser,class,1
Parent,DevExpress.Persistent.Base.General.ITreeNode,class,1
_membersaltText,DevExpress.Persistent.Base.CustomFormatObjectEventArgs,class,1
Result,DevExpress.Persistent.Base.CustomFormatObjectEventArgs,class,1
_membersaltText,DevExpress.Persistent.Base.General.NotificationItemsEventArgs,class,1
Children,DevExpress.Persistent.Base.General.ITreeNode,class,1
I,DevExpress.Data,class,1
MediaData,DevExpress.Persistent.BaseImpl.MediaDataObject,class,1
