concept_1,concept_2,count,concept_1_total,concept_2_total,lift
.NET Runtime,Blazor,1496,1543,2455,4.341800893068097
View Types,Views,1481,1481,1770,6.211299435028248
Blazor,WinForms,1070,2455,1816,2.6385915644598366
WinForms,Windows,1060,1816,1330,4.824964393362261
.NET Runtime,WinForms,944,1543,1816,3.7037866048461012
List View,Views,889,889,1770,6.211299435028248
List View,View Types,889,889,1481,7.423362592842674
Blazor,Windows,778,2455,1330,2.619583173820498
.NET Runtime,Windows,715,1543,1330,3.830400693892866
Detail View,View Types,647,647,1481,7.4233625928426745
Detail View,Views,647,647,1770,6.211299435028248
Blazor,Views,583,2455,1770,1.4750254870148547
Application Model,Model Editor,580,1569,580,7.007010834926705
Views,WinForms,500,1770,1816,1.7101595360760597
Blazor,View Types,500,2455,1481,1.5118864751207075
.NET Runtime,Views,482,1543,1770,1.9402762979154995
Blazor,Web API Service,458,2455,591,3.4704215644718297
Application Model,Views,418,1569,1770,1.6547630107341034
Views,Windows,417,1770,1330,1.9474525296291576
View Types,WinForms,416,1481,1816,1.7005059684044894
.NET Runtime,View Types,408,1543,1481,1.9628852481398646
Business Object,Entity Framework Core,407,1324,1143,2.956758992739201
Blazor,Business Object,363,2455,1324,1.227786562967247
Application Model,WinForms,351,1569,1816,1.3543286360458555
Application Model,Blazor,346,1569,2455,0.9875461298919104
View Types,Windows,344,1481,1330,1.9200276179984057
Application Model,View Types,337,1569,1481,1.5944379820191084
Blazor,Entity Framework Core,335,2455,1143,1.312510579762051
Property Editors,Views,334,868,1770,2.390062224999349
View Items,Views,316,316,1770,6.2112994350282476
Blazor,Property Editors,310,2455,868,1.5993599068955486
Entity Framework Core,XPO,307,1143,989,2.985737247960284
Actions,Blazor,305,742,2455,1.8407727230307256
Actions,WinForms,300,742,1816,2.4476946459740914
Property Editors,View Types,299,868,1481,2.557126054446958
Actions,Windows,293,742,1330,3.264132703726973
.NET Runtime,Actions,288,1543,742,2.765530095920539
Business Object,XPO,288,1324,989,2.418042577109534
Blazor,Dashboards,278,2455,359,3.4678043218036074
Actions,Controllers,278,742,506,8.140406763048272
Controllers,Windows,277,506,1330,4.525153793574845
Blazor,Controllers,275,2455,506,2.4338085539714864
Business Object,Views,270,1324,1770,1.2666547186235855
Application Model,Windows,270,1569,1330,1.4224758837821134
Entity Framework Core,WinForms,266,1143,1816,1.408884186833474
.NET Runtime,Controllers,263,1543,506,3.703352383196842
Controllers,WinForms,262,506,1816,3.1346615939126954
Property Editors,WinForms,260,868,1816,1.8133995818023103
.NET Runtime,Application Model,259,1543,1569,1.1761606002890583
Blazor,List View,259,2455,889,1.3046746957037703
List View,WinForms,258,889,1816,1.756943652968489
.NET Runtime,Property Editors,254,1543,868,2.08498914377701
Built-in Controllers,Controllers,253,253,506,21.727272727272727
Actions,Built-in Actions,252,742,252,14.816711590296498
Business Object,View Types,251,1324,1481,1.4072991018153407
Business Object,WinForms,250,1324,1816,1.1431202337064297
Blazor,Detail View,247,2455,647,1.709609446072583
Actions,Built-in Controllers,243,742,253,14.231070815976476
Built-in Actions,Controllers,240,252,506,20.692640692640694
Built-in Actions,Built-in Controllers,238,252,253,41.04040404040404
.NET Runtime,Dashboards,237,1543,359,4.703744288610438
Actions,Views,237,742,1770,1.983932568870209
Application Model,Business Object,235,1569,1324,1.2436915001569304
Property Editor Types,Property Editors,230,230,868,12.665898617511521
Controller Types,Controllers,230,230,506,21.72727272727273
.NET Runtime,Business Object,228,1543,1324,1.2269776967613215
.NET Runtime,List View,224,1543,889,1.7952960027760627
Dashboards,WinForms,222,359,1816,3.743677371062546
Business Objects,Object Relationships,217,222,217,49.52252252252252
List View,Windows,216,889,1330,2.00842714209596
.NET Runtime,Entity Framework Core,215,1543,1143,1.3402383354057412
Application Model,List View,214,1569,889,1.6867270176314004
Blazor,Built-in Controllers,213,2455,253,3.770190705424921
.NET Runtime,Built-in Controllers,212,1543,253,5.970423613975137
Business Logic,XPO,211,379,989,6.188746395042032
List View,Property Editors,209,889,868,2.97769720029236
Detail View,List View,209,647,889,3.9948086087384365
Blazor,Built-in Actions,208,2455,252,3.6962984514919346
.NET Runtime,Built-in Actions,207,1543,252,5.852745116192945
.NET Runtime,Detail View,205,1543,647,2.2575604439854513
Built-in Controllers,Windows,205,253,1330,6.697881066302118
Detail View,WinForms,204,647,1816,1.9088235093859154
Model Editor,Views,203,580,1770,2.1739548022598867
Controllers,Views,202,506,1770,2.479609655880842
Built-in Actions,Windows,202,252,1330,6.6260532283088684
Built-in Controllers,WinForms,202,253,1816,4.833600320384462
Model Editor,WinForms,200,580,1816,2.0875740543825003
Application Model,Property Editors,200,1569,868,1.6145186255591488
Built-in Actions,WinForms,199,252,1816,4.780710265016433
Dashboards,Windows,198,359,1330,4.559055019163508
Blazor,Model Editor,190,2455,580,1.4669990870145373
Model Editor,View Types,186,580,1481,2.3805955901185123
Dashboard View,Views,186,186,1770,6.2112994350282476
Dashboard View,View Types,186,186,1481,7.423362592842674
.NET Runtime,Web API Service,183,1543,591,2.206243358741459
Dashboards,Views,180,359,1770,3.1143005523818514
Business Object,Windows,180,1324,1330,1.1237989232900985
View Items,View Types,177,316,1481,4.158022718142891
Detail View,Windows,176,647,1330,2.2486014107912746
Action Types,Actions,175,175,742,14.816711590296494
