doc_id,section_id,is_api,platforms,connections,concepts
data/raw_md/articles/accessibility,accessibility::1,False,[],24,['.NET Runtime' 'Blazor' 'Criteria' 'WinForms']
data/raw_md/articles/conditional-appearance,conditional-appearance::4,False,[],37,"['Conditional Appearance' 'Criteria' 'Detail View' 'View Types' 'Views'
 'XAF Application']"
data/raw_md/articles/conditional-appearance,conditional-appearance::8,False,[],44,"['Application Model' 'Business Object' 'Conditional Appearance' 'Criteria'
 'List View' 'Model Editor' 'Property Editors' 'View Items' 'View Types'
 'Views' 'XAF Application']"
data/raw_md/articles/conditional-appearance,conditional-appearance::11,False,[],32,"['Application Model' 'Conditional Appearance' 'Criteria' 'Detail View'
 'List View' 'Property Editors' 'View Types' 'Views' 'XAF Application']"
data/raw_md/articles/filtering,filtering::2,False,[],10,['Built-in Criteria Operators' 'Criteria' 'Custom Criteria Functions']
data/raw_md/articles/filtering,filtering::3,False,[],30,"['Application Model' 'Criteria' 'Filtering UI' 'List View' 'View Types'
 'Views']"
data/raw_md/articles/filtering,filtering::4,False,[],33,"['Application Model' 'Criteria' 'Filtering UI' 'List View'
 'Lookup Property Editors' 'Property Editor Types' 'Property Editors'
 'Reference Property' 'View Types' 'Views' 'Windows']"
data/raw_md/articles/filtering,filtering::5,False,[],29,"['Application Model' 'Criteria' 'List View' 'Lookup Property Editors'
 'Property Editor Types' 'Property Editors' 'Reference Property'
 'View Types' 'Views' 'Windows']"
data/raw_md/articles/why-we-recommend-ef-core-over-xpo,why-we-recommend-ef-core-over-xpo::4,False,[],15,"['Application Model' 'Audit Trail' 'Blazor' 'Business Object'
 'Business Objects' 'Clone Object' 'Conditional Appearance' 'Criteria'
 'Dashboards' 'Database Update' 'Direct SQL' 'Entity Framework Core'
 'File Attachments' 'Middle Tier' 'Model Nodes' 'Object Relationships'
 'Optimistic Locking' 'Property Editors' 'Web API Service' 'XPO']"
data/raw_md/articles/app-shell-and-base-infrastructure/navigation-system,navigation-system::16,False,[],29,"['.NET Runtime' 'Blazor' 'Criteria' 'Navigation' 'Reports V2'
 'View Customization' 'View Variants' 'Views' 'WinForms']"
data/raw_md/articles/backend-web-api-service/obtain-a-report-from-a-web-api-controller-endpoint,obtain-a-report-from-a-web-api-controller-endpoint::9,False,[],22,['Blazor' 'Criteria' 'Web API Service']
data/raw_md/articles/backend-web-api-service/obtain-a-report-from-a-web-api-controller-endpoint,obtain-a-report-from-a-web-api-controller-endpoint::14,False,[],26,['Blazor' 'Criteria' 'Template Kit' 'Web API Service']
data/raw_md/articles/backend-web-api-service/obtain-a-report-from-a-web-api-controller-endpoint,obtain-a-report-from-a-web-api-controller-endpoint::20,False,[],33,['Blazor' 'Criteria' 'Web API Service']
data/raw_md/articles/backend-web-api-service/obtain-a-report-from-a-web-api-controller-endpoint,obtain-a-report-from-a-web-api-controller-endpoint::22,False,[],27,['.NET Runtime' 'Blazor' 'Criteria' 'Web API Service' 'XPO']
data/raw_md/articles/business-model-design-orm/business-model-design-with-xpo,business-model-design-with-xpo::4,False,[],8,"['Business Object' 'Business Objects' 'Criteria' 'Entity Framework Core'
 'Object Relationships' 'XPO']"
data/raw_md/articles/business-model-design-orm/business-model-design-with-xpo,business-model-design-with-xpo::5,False,[],37,"['Business Object' 'Business Objects' 'Criteria' 'Entity Framework Core'
 'Object Relationships' 'XPO']"
data/raw_md/articles/business-model-design-orm/business-model-design-with-xpo,business-model-design-with-xpo::6,False,[],13,"['Business Object' 'Criteria' 'Database Update' 'Entity Framework Core'
 'XPO']"
data/raw_md/articles/business-model-design-orm/data-types-supported-by-built-in-editors,data-types-supported-by-built-in-editors::2,False,[],15,['Business Object' 'Criteria' 'Property Editors' 'Reference Property']
data/raw_md/articles/business-model-design-orm/non-persistent-objects,non-persistent-objects::15,False,[],25,"['Business Object' 'Criteria' 'List View' 'Lookup View' 'View Types'
 'Views']"
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::3,False,[],84,['Application Model' 'Business Object' 'Conditional Appearance' 'Criteria']
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-the-application-model,declare-conditional-appearance-rules-in-the-application-model::3,False,[],22,"['Application Model' 'Built-in Criteria Operators' 'Business Object'
 'Conditional Appearance' 'Context Menus' 'Criteria' 'Model Editor']"
data/raw_md/articles/conditional-appearance/how-to-customize-the-conditional-appearance-module-behavior,how-to-customize-the-conditional-appearance-module-behavior::4,False,[],12,['Conditional Appearance' 'Criteria']
data/raw_md/articles/conditional-appearance/how-to-customize-the-conditional-appearance-module-behavior,how-to-customize-the-conditional-appearance-module-behavior::5,False,[],10,"['Business Logic' 'Conditional Appearance' 'Criteria' 'List View'
 'View Types' 'Views' 'XPO']"
data/raw_md/articles/conditional-appearance/how-to-customize-the-conditional-appearance-module-behavior,how-to-customize-the-conditional-appearance-module-behavior::8,False,[],19,['Conditional Appearance' 'Criteria']
data/raw_md/articles/conditional-appearance/how-to-customize-the-conditional-appearance-module-behavior,how-to-customize-the-conditional-appearance-module-behavior::9,False,[],34,"['.NET Runtime' 'Blazor' 'Business Logic' 'Conditional Appearance'
 'Criteria' 'Property Editors' 'WinForms' 'Windows' 'XPO']"
data/raw_md/articles/data-security-and-safety/security-system,security-system::5,False,[],20,"['.NET Runtime' 'Authentication' 'Authorization' 'Business Object'
 'Criteria' 'Entity Framework Core' 'Security System' 'XPO']"
data/raw_md/articles/debugging-testing-and-error-handling/unit-tests,unit-tests::1,False,[],3,"['Business Logic' 'Business Object Lifecycle' 'Business Objects'
 'Criteria' 'Detail View' 'List View' 'Nested Views' 'View Customization'
 'View Lifecycle' 'View Types' 'Views' 'XAF Application' 'XPO']"
data/raw_md/articles/event-planning-and-notifications/how-to-show-notifications-to-a-specific-user,how-to-show-notifications-to-a-specific-user::6,False,[],35,['Criteria' 'Notifications']
data/raw_md/articles/event-planning-and-notifications/how-to-show-notifications-to-a-specific-user,how-to-show-notifications-to-a-specific-user::7,False,[],35,['.NET Runtime' 'Blazor' 'Criteria' 'Scheduler']
data/raw_md/articles/multitenancy/get-the-current-tenant-in-code,get-the-current-tenant-in-code::5,False,[],13,['Criteria' 'Tenant']
data/raw_md/articles/multitenancy/get-the-current-tenant-in-code,get-the-current-tenant-in-code::6,False,[],10,['Criteria' 'Tenant']
data/raw_md/articles/multitenancy/get-the-current-tenant-in-code,get-the-current-tenant-in-code::7,False,[],11,['Criteria' 'Tenant']
data/raw_md/articles/security-considerations/general-security-considerations,general-security-considerations::10,False,[],17,"['.NET Runtime' 'Blazor' 'Business Object' 'Business Objects'
 'Collection Property' 'Criteria' 'Entity Framework Core'
 'File Attachments' 'Object Relationships' 'Property Editors'
 'Web API Service']"
data/raw_md/articles/validation/implement-custom-rules,implement-custom-rules::3,False,[],23,"['Application Model' 'Business Object' 'Criteria'
 'Custom Validation Rules' 'Validation']"
data/raw_md/articles/validation/validation-contexts,validation-contexts::6,False,[],40,['Criteria' 'Validation']
data/raw_md/articles/validation/validation-rules,validation-rules::2,False,[],54,['Criteria' 'Validation']
