uid,title,path,article_type,word_count,num_actual_useful_apis,num_high_priority,num_medium_priority,realistic_score,base_score,ticket_weight,primary_ticket_category,ticket_count,has_code_blocks
118451,How to: Show Various Notifications to Multiple Users,data\raw_md\articles\event-planning-and-notifications\how-to-show-various-notifications-for-multiple-users.md,how_to,280,14,8,1,198.7471122747574,99.0,2.007546588633913,Custom View Items & Editors,869,True
402155,Add a Parametrized Action,data\raw_md\articles\getting-started\in-depth-tutorial-blazor\add-actions-menu-commands\add-a-parametrized-action.md,tutorial,376,10,8,1,190.71692592022177,95.0,2.007546588633913,Custom View Items & Editors,869,True
113161,How to: Access Nested List View or Master Detail View Environment (ASP.NET Core Blazor and Windows Forms),data\raw_md\articles\ui-construction\ways-to-access-ui-elements-and-their-controls\how-to-access-master-detail-view-and-nested-list-view-environment.md,how_to,502,9,8,1,188.70937933158785,94.0,2.007546588633913,Custom View Items & Editors,869,True
116516,Non-Persistent Objects,data\raw_md\articles\business-model-design-orm\non-persistent-objects.md,general,1543,12,6,4,184.69428615432003,92.0,2.007546588633913,Custom View Items & Editors,869,True
113653,How to Add an Unbound Control (Button) to the Form Layout in an XAF View (with a Fully Custom ViewItem),data\raw_md\articles\ui-construction\view-items-and-property-editors\add-a-button-to-a-detail-view-using-custom-view-item.md,how_to,490,9,8,0,178.67164638841828,89.0,2.007546588633913,Custom View Items & Editors,869,True
113143,How to: Enable Database Storage for User-Defined Criteria that Filter a List View,data\raw_md\articles\ui-construction\view-items-and-property-editors\property-editors\use-criteria-property-editors.md,how_to,422,11,9,0,178.4960726936701,101.0,1.7672878484521792,Built-in View Items & Editors,765,True
,Customize Application UI and Behavior,data\raw_md\articles\getting-started\basic-tutorial-blazor\customize-the-application-ui-and-behavior-blazor.md,tutorial,584,8,8,0,176.66409979978437,88.0,2.007546588633913,Custom View Items & Editors,869,True
112818,"Determine Why an Action, Controller or Editor is Inactive",data\raw_md\articles\ui-construction\controllers-and-actions\determine-why-an-action-controller-or-editor-is-inactive.md,general,1477,12,5,5,174.65655321115045,87.0,2.007546588633913,Custom View Items & Editors,869,True
118760,How to: Create and Show a Detail View of the Selected Object in a Popup Window (ASP.NET Core Blazor),data\raw_md\articles\ui-construction\views\ways-to-show-a-view\how-to-create-and-show-a-detail-view-of-the-selected-object-in-a-popup-window.md,how_to,222,11,7,1,172.64900662251654,86.0,2.007546588633913,Custom View Items & Editors,869,True
113471,How to: Display a Non-Persistent Object's Detail View,data\raw_md\articles\business-model-design-orm\non-persistent-objects\how-to-display-a-non-persistent-objects-detail-view-from-the-navigation.md,how_to,436,12,7,0,164.61882026798088,82.0,2.007546588633913,Custom View Items & Editors,869,True
113103,Define the Scope of Controllers and Actions,data\raw_md\articles\ui-construction\controllers-and-actions\define-the-scope-of-controllers-and-actions.md,general,902,10,6,2,160.60372709071305,80.0,2.007546588633913,Custom View Items & Editors,869,True
403452,How To: Create a Custom Blazor Application Template,data\raw_md\articles\ui-construction\templates\in-blazor\custom-blazor-application-template.md,how_to,366,11,6,1,152.5735407361774,76.0,2.007546588633913,Custom View Items & Editors,869,True
113707,Ways to Access an Object Space (the Database Context for CRUD Operations),data\raw_md\articles\data-manipulation-and-business-logic\object-space.md,general,1287,16,2,10,151.98675496688742,86.0,1.7672878484521792,Built-in View Items & Editors,765,True
113287,How to: Customize the Export Action Behavior,data\raw_md\articles\shape-export-print-data\printing-exporting-in-list-view\how-to-customize-the-export-action-behavior.md,how_to,900,10,6,3,150.21946711843523,85.0,1.7672878484521792,Built-in View Items & Editors,765,True
112681,How to: Implement Cascading Filtering for Lookup List Views,data\raw_md\articles\filtering\in-list-view\how-to-implement-cascading-filtering-for-lookup-list-views.md,how_to,1049,9,6,1,148.5584475589096,74.0,2.007546588633913,Custom View Items & Editors,869,True
113452,Implement a Custom Security System User Based on an Existing Business Class,data\raw_md\articles\data-security-and-safety\security-system\security-object-model\implement-custom-security-objects\implement-a-custom-security-system-user-based-on-an-existing-business-class.md,general,681,9,6,1,148.5584475589096,74.0,2.007546588633913,Custom View Items & Editors,869,True
402956,Localize an XAF Application (.NET),data\raw_md\articles\localization\localize-an-xaf-application.md,general,1245,13,7,0,146.68489142153086,83.0,1.7672878484521792,Built-in View Items & Editors,765,True
404256,Extend the Data Model,data\raw_md\articles\getting-started\in-depth-tutorial-blazor\define-data-model-and-set-initial-data\define-data-model-and-set-initial-data-with-ef-core\extend-the-data-model.md,tutorial,184,9,6,0,138.52071461574002,69.0,2.007546588633913,Custom View Items & Editors,869,True
404559,How to: Add a Grid Column with an Action (ASP.NET Core Blazor),data\raw_md\articles\ui-construction\controllers-and-actions\actions\how-to-add-a-grid-column-with-an-action.md,how_to,281,9,6,0,138.52071461574002,69.0,2.007546588633913,Custom View Items & Editors,869,True
112805,Dialog Controller,data\raw_md\articles\ui-construction\controllers-and-actions\dialog-controller.md,general,849,9,5,2,138.52071461574002,69.0,2.007546588633913,Custom View Items & Editors,869,True
404204,Use the Security System,data\raw_md\articles\getting-started\in-depth-tutorial-blazor\enable-additional-modules\use-the-security-system.md,tutorial,576,8,6,0,136.5131680271061,68.0,2.007546588633913,Custom View Items & Editors,869,True
403258,How to: Use a Custom Component to Implement List Editor (Blazor),data\raw_md\articles\ui-construction\list-editors\how-to-use-a-custom-component-to-implement-list-editor-blazor.md,how_to,979,8,6,0,136.5131680271061,68.0,2.007546588633913,Custom View Items & Editors,869,True
114159,How to: Show a Custom Data-Bound Control in an XAF View (WinForms),data\raw_md\articles\ui-construction\view-items-and-property-editors\how-to-show-a-custom-data-bound-control-in-an-xaf-view\how-to-show-a-custom-data-bound-control-in-an-xaf-view-winforms.md,how_to,441,11,5,1,132.49807484983828,66.0,2.007546588633913,Custom View Items & Editors,869,True
,Access and Customize Rich Text Editor Controls,data\raw_md\articles\document-management\office-module\access-rich-text-editor-controls.md,general,492,6,6,0,132.49807484983828,66.0,2.007546588633913,Custom View Items & Editors,869,True
112836,TreeList Editors Module Overview,data\raw_md\articles\app-shell-and-base-infrastructure\tree-list-editors\tree-list-editors-module-overview.md,conceptual,1231,10,2,7,130.49052826120436,65.0,2.007546588633913,Custom View Items & Editors,869,True
113189,List Editors,data\raw_md\articles\ui-construction\list-editors.md,general,605,8,6,1,129.01201293700908,73.0,1.7672878484521792,Built-in View Items & Editors,765,True
120092,Ways to Access UI Elements and Their Controls,data\raw_md\articles\ui-construction\ways-to-access-ui-elements-and-their-controls\ways-to-access-ui-elements-and-their-controls.md,general,808,9,3,5,128.48298167257045,64.0,2.007546588633913,Custom View Items & Editors,869,True
113302,Chart Module,data\raw_md\articles\analytics\chart-module.md,general,806,10,8,2,127.98398275065455,100.0,1.2798398275065455,Grid List Editors,554,True
404125,Add Custom Nodes and Properties to the Application Model in Code,data\raw_md\articles\ui-construction\application-model-ui-settings-storage\modify-application-model\add-nodes-and-node-properties-to-app-model.md,general,1428,13,9,2,126.60942553519175,113.0,1.1204373941167411,Custom logic within View or Controller,485,True
404264,Customize Standard Authentication Behavior and Supply Additional Logon Parameters (.NET Applications),data\raw_md\articles\data-security-and-safety\security-system\authentication\customize-standard-authentication-behavior-and-supply-additional-logon-parameters\customize-authentication-behavior-net.md,general,590,7,4,3,124.46788849530262,62.0,2.007546588633913,Custom View Items & Editors,869,True
112803,Ways to Show a View,data\raw_md\articles\ui-construction\views\ways-to-show-a-view\ways-to-show-a-view.md,general,859,11,4,2,122.4603419066687,61.0,2.007546588633913,Custom View Items & Editors,869,True
404767,Underlying Controls and Components Behind UI Elements (ASP.NET Core Blazor),data\raw_md\articles\ui-construction\views\underlying-controls-and-components-behind-ui-elements-asp-net-core-blazor.md,general,560,7,5,2,118.40828584629601,67.0,1.7672878484521792,Built-in View Items & Editors,765,True
403068,ASP.NET Core Blazor Application Appearance,data\raw_md\articles\app-shell-and-base-infrastructure\blazor-application-appearance.md,general,1708,8,5,0,116.43770214076697,58.0,2.007546588633913,Custom View Items & Editors,869,True
402153,Access the Settings of a Property Editor in a Detail View,data\raw_md\articles\getting-started\in-depth-tutorial-blazor\customize-data-display-and-view-layout\access-editor-settings.md,tutorial,176,7,3,4,114.43015555213306,57.0,2.007546588633913,Custom View Items & Editors,869,True
402157,Add a Simple Action,data\raw_md\articles\getting-started\in-depth-tutorial-blazor\add-actions-menu-commands\add-a-simple-action.md,tutorial,312,7,5,0,114.43015555213306,57.0,2.007546588633913,Custom View Items & Editors,869,True
112816,How to Add an Unbound Control (Button) to the Form Layout in an XAF View (with a Built-in ActionContainerViewItem),data\raw_md\articles\ui-construction\view-items-and-property-editors\include-an-action-to-a-detail-view-layout.md,how_to,475,7,4,2,114.43015555213306,57.0,2.007546588633913,Custom View Items & Editors,869,True
113652,How to Add an Unbound Control (Button) to the Form Layout in an XAF View (with a Built-in ControlViewItem),data\raw_md\articles\ui-construction\view-items-and-property-editors\create-a-custom-control-detail-item.md,how_to,585,7,5,0,114.43015555213306,57.0,2.007546588633913,Custom View Items & Editors,869,True
113374,How to: Customize the Conditional Appearance Module Behavior,data\raw_md\articles\conditional-appearance\how-to-customize-the-conditional-appearance-module-behavior.md,how_to,767,9,4,3,113.10642230093947,64.0,1.7672878484521792,Built-in View Items & Editors,765,True
404714,How to: Customize Status and Label Properties,data\raw_md\articles\event-planning-and-notifications\how-to-customize-status-and-label-properties.md,how_to,259,6,4,2,112.42260896349914,56.0,2.007546588633913,Custom View Items & Editors,869,True
113532,Numeric Properties,data\raw_md\articles\business-model-design-orm\data-types-supported-by-built-in-editors\numeric-properties.md,general,772,6,5,0,112.42260896349914,56.0,2.007546588633913,Custom View Items & Editors,869,True
402984,Configure a One-to-Many Relationship,data\raw_md\articles\getting-started\in-depth-tutorial-blazor\define-data-model-and-set-initial-data\define-data-model-and-set-initial-data-with-ef-core\set-a-one-to-many-relationship-ef-core.md,tutorial,558,6,5,0,112.42260896349914,56.0,2.007546588633913,Custom View Items & Editors,869,True
113249,List View Edit Modes,data\raw_md\articles\ui-construction\views\list-view-edit-modes.md,general,880,6,5,0,112.42260896349914,56.0,2.007546588633913,Custom View Items & Editors,869,True
404698,How to: Show a Custom Data-Bound Control in an XAF View (Blazor) - External Data,data\raw_md\articles\ui-construction\view-items-and-property-editors\how-to-show-a-custom-data-bound-control-in-an-xaf-view\how-to-show-a-custom-data-bound-control-in-an-xaf-blazor-basic.md,how_to,341,6,5,0,112.42260896349914,56.0,2.007546588633913,Custom View Items & Editors,869,True
404014,How to: Adjust the Size and Style of Pop-up Dialogs (Blazor),data\raw_md\articles\ui-construction\templates\in-blazor\change-popup-window-dimensions.md,how_to,125,10,9,0,112.04373941167411,100.0,1.1204373941167411,Custom logic within View or Controller,485,True
113183,How to: Customize Action Controls,data\raw_md\articles\ui-construction\controllers-and-actions\actions\how-to-customize-action-controls.md,how_to,320,8,5,1,111.33913445248729,63.0,1.7672878484521792,Built-in View Items & Editors,765,True
118240,Ways to Show a Confirmation Dialog,data\raw_md\articles\app-shell-and-base-infrastructure\dialogs-and-notifications\ways-to-show-a-confirmation-dialog.md,general,359,5,5,0,110.41506237486523,55.0,2.007546588633913,Custom View Items & Editors,869,True
118549,Text Notifications,data\raw_md\articles\app-shell-and-base-infrastructure\dialogs-and-notifications\text-notifications.md,general,298,5,5,0,110.41506237486523,55.0,2.007546588633913,Custom View Items & Editors,869,True
113594,Data Filtering in Reports,data\raw_md\articles\filtering\in-reports\data-filtering-in-reports.md,general,369,5,5,0,110.41506237486523,55.0,2.007546588633913,Custom View Items & Editors,869,True
403622,Refresh Objects and Rollback Changes,data\raw_md\articles\data-manipulation-and-business-logic\create-read-update-and-delete-data\refresh-objects-and-rollback-changes.md,general,177,5,5,0,110.41506237486523,55.0,2.007546588633913,Custom View Items & Editors,869,True
