concept,ticket_id,title,type,status
Blazor,T1320997,Queryable Mode - invalid and outdated info,InvalidInfo,Closed
Blazor,T1320766,Add a New .NET XAF Module to an XAF Application | XAF: Cross-Platform .NET App UI & Web API | DevExp,NewFeatureIssue,Active
Blazor,T1319820,Mail Merge - missing crucial XAF Blazor details,InsuffInfo,Closed
Blazor,T1319293,Incorrect info about Standalone Model Editor in Blazor,InvalidInfo,Closed
Blazor,T1318737,How to: Choose the Optimal Query Splitting Behavior in Entity Framework Core | XAF: Cross-Platform .,UnusableFeedback,Closed
Blazor,T1318183,XPO Extensions for ASP.NET Core Dependency Injection | XPO (.NET ORM Library) | DevExpress Documenta,UnusableFeedback,Closed
Blazor,T1317180,How to: Perform CRUD Operations with Non-Persistent Objects | XAF: Cross-Platform .NET App UI & Web ,InsuffCode,Closed
Blazor,T1317104,"When is the function ""UpdateDatabaseAfterUpdateSchema"" invoked",InsuffInfo,Closed
Blazor,T1317092,Add and Replace Icons | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InsuffInfo,Archived
Blazor,T1315302,Need to rewrite code in the TreeList - Flat data source help topic,InsuffCode,Closed
Blazor,T1314402,Missing one step of the process - Implement a Property Editor Based on a Custom Component (Blazor),InsuffInfo,Archived
Blazor,T1313736,Incorrect class name for TagBoxListPropertyEditor,InvalidInfo,Closed
Blazor,T1313595,"Describe why  ""unsafe-inline"" in CSP is required in XAF Blazor Apps",InsuffInfo,Archived
Blazor,T1313180,"The translation dialog appears in browser, as the language is changed several seconds after app load",InsuffInfo,Archived
Blazor,T1311731,Custom EasyTest Commands | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InsuffCode,Archived
Blazor,T1310514,Obsolete information about CreateDefaultObjectSpaceProvider,InvalidInfo,Closed
Blazor,T1309586,Improve BlazorControlViewItem help topic,HardToUnderstand,Archived
Blazor,T1309299,Readme of the 'sequential generator' example is outdated,NewFeatureIssue,Archived
Blazor,T1309006,Format a Property Value | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,UnusableFeedback,Closed
Blazor,T1306344,Unable to use the FieldListMaxExpandLevelOnSearch property in web,NonDocScenario,Closed
Blazor,T1305694,Create a Calculated Property | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InvalidInfo,Closed
Blazor,T1304752,How to: Display a List View With Data From a Stored Procedure From the Navigation | XAF: Cross-Platf,InvalidCode,Closed
Blazor,T1303785,View Variants (Switch Document Layouts) | XAF: Cross-Platform .NET App UI & Web API | DevExpress Doc,UnusableFeedback,Closed
Blazor,T1303625,Display a Tree List using the ITreeNode Interface | XAF: Cross-Platform .NET App UI & Web API | DevE,InvalidCode,Archived
Blazor,T1303299,Scehduler configuration docs are difficult to find,HardToFind,Archived
Blazor,T1296694,ModelValidationRulesNodeGenerator Class | XAF: Cross-Platform .NET App UI & Web API | DevExpress Doc,InvalidInfo,Closed
Blazor,T1295602,Soft Deletion (Deferred Object Deletion) | XAF: Cross-Platform .NET App UI & Web API | DevExpress Do,InsuffCode,Closed
Blazor,T1292571,Action hidden by a Conditional Appearance Rule appears as disabled in List Views,InsuffInfo,Closed
Blazor,T1289372,ModificationsCheckingMode  + new item row limitiation,InsuffInfo,Closed
Blazor,T1286688,FROM PM: Add a Collapse/Expand TreeList Nodes section to the TreeList Editors Module docs,InsuffCode,Closed
Blazor,T1282060,Implement a Property Editor Based on a Custom Component ,InsuffInfo,Archived
Blazor,T1280629,"Outdated info in the ""DxGridListEditor Class"" help topic",InvalidInfo,Closed
WinForms,T1320997,Queryable Mode - invalid and outdated info,InvalidInfo,Closed
WinForms,T1320904,TreeList - Drag information is not recalculated when the Handled property is set to true,InsuffInfo,Active
WinForms,T1320766,Add a New .NET XAF Module to an XAF Application | XAF: Cross-Platform .NET App UI & Web API | DevExp,NewFeatureIssue,Active
WinForms,T1319293,Incorrect info about Standalone Model Editor in Blazor,InvalidInfo,Closed
WinForms,T1318737,How to: Choose the Optimal Query Splitting Behavior in Entity Framework Core | XAF: Cross-Platform .,UnusableFeedback,Closed
WinForms,T1318183,XPO Extensions for ASP.NET Core Dependency Injection | XPO (.NET ORM Library) | DevExpress Documenta,UnusableFeedback,Closed
WinForms,T1317180,How to: Perform CRUD Operations with Non-Persistent Objects | XAF: Cross-Platform .NET App UI & Web ,InsuffCode,Closed
WinForms,T1317092,Add and Replace Icons | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InsuffInfo,Archived
WinForms,T1316089,"Incorrect code for the ""Type Properties in XPO"" help topic",InvalidCode,Closed
WinForms,T1315692,ObjectCaptionFormatAttribute Class - old info was lost,InsuffInfo,Archived
WinForms,T1311731,Custom EasyTest Commands | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InsuffCode,Archived
WinForms,T1310514,Obsolete information about CreateDefaultObjectSpaceProvider,InvalidInfo,Closed
WinForms,T1309006,Format a Property Value | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,UnusableFeedback,Closed
