concept,total_issues,active,closed,archived,invalid_info,insuff_info,missing_info,new_feature,negative_feedback,positive_feedback
Business Logic,42,1,30,11,12,11,0,2,27,1
XPO,36,1,27,8,10,9,0,3,22,1
Model Extension,36,1,24,11,5,10,0,3,22,1
Entity Framework Core,35,1,26,8,9,9,0,3,21,1
Object Space Provider,34,1,25,8,9,8,0,1,19,1
Collection Property,34,1,23,10,7,11,0,1,21,2
Reference Property,34,1,23,10,7,11,0,1,21,2
Property Metadata,34,1,23,10,8,11,0,1,22,2
Business Object,33,1,23,9,9,7,0,3,19,1
Views,33,1,23,9,8,6,0,2,21,2
Calculated Property,33,1,22,10,7,11,0,1,21,2
Blazor,32,1,21,10,7,9,0,2,20,0
Non-persistent Object,30,1,20,9,8,8,0,1,17,1
Object Relationships,30,0,22,8,8,9,0,0,17,0
Business Object Lifecycle,30,0,22,8,8,9,0,0,17,0
Web API Service,29,1,21,7,6,8,0,1,18,1
View Types,28,0,21,7,8,5,0,1,18,2
Criteria,27,0,20,7,6,6,0,0,16,1
Database Connection,26,0,18,8,7,6,0,1,16,1
Custom Criteria Functions,26,0,18,8,6,7,0,0,17,0
Spreadsheet Control,26,0,18,8,8,7,0,0,18,0
WinForms,25,2,16,7,7,6,0,1,15,0
Built-in Criteria Operators,25,0,18,7,6,6,0,0,16,0
Filtering UI,25,0,18,7,6,6,0,0,16,0
Clone Object,25,0,18,7,6,7,0,0,15,1
Application Model,23,0,16,7,6,6,0,1,15,1
List Editors,23,1,17,5,4,5,0,1,14,1
XAF Application,23,1,13,9,3,8,0,1,16,0
Database Update,23,0,17,6,6,7,0,0,14,1
View Variants,23,1,17,5,5,5,0,3,16,1
Direct SQL,22,0,15,7,6,7,0,0,14,0
Auto-Increment Fields,22,0,15,7,6,6,0,1,14,0
List View,22,0,18,4,8,4,0,1,12,2
Validation,22,0,16,6,7,6,0,0,13,0
Multiple Databases,21,0,15,6,6,6,0,0,13,0
Optimistic Locking,21,0,15,6,6,6,0,0,13,0
View Items,21,0,16,5,6,5,0,1,14,2
PivotGrid,21,0,15,6,6,6,0,0,13,0
Detail View,20,0,16,4,7,4,0,1,13,1
Lookup View,20,0,14,6,6,5,0,1,14,1
Action Container View Items,19,0,14,5,5,5,0,1,13,2
Lookup Property Editors,19,0,13,6,6,4,0,0,12,1
Controller Customization,19,2,13,4,4,6,0,1,14,2
Property Editors,18,0,12,6,5,5,0,0,13,0
Static View Items,18,0,14,4,5,4,0,1,13,2
Dashboard View Items,18,0,14,4,5,4,0,1,13,2
Layout Generation,18,0,14,4,5,4,0,1,12,1
Layout Runtime Customization,18,0,14,4,5,4,0,1,12,1
Tabbed MDI Interface,18,1,10,7,6,6,0,0,12,0
Threading Issues,18,1,13,4,3,7,0,0,14,1
Layout,17,0,14,3,5,3,0,1,11,1
List View Data Access Modes,17,0,14,3,6,3,0,1,11,1
