concept,total_issues,active,closed,archived,invalid_info,insuff_info,avg_confidence
Blazor,15,1,9,5,3,6,16.56
XPO,6,0,5,1,2,1,18.33
Tree List,4,1,2,1,0,1,23.5
Business Object,3,0,2,1,0,1,13.0
[Uncategorized],3,0,3,0,1,0,0.0
Entity Framework Core,2,0,1,1,1,1,13.5
View Types,2,0,2,0,0,0,11.5
Testing,2,0,0,2,0,1,22.5
WinForms,2,0,1,1,1,1,12.0
Authentication,2,0,1,1,1,1,22.5
List View Data Access Modes,1,0,1,0,1,0,36.0
Authorization,1,0,1,0,0,0,3.0
Database Update,1,0,1,0,0,1,16.0
Property Metadata,1,0,1,0,0,0,7.0
Collection Property Editors,1,0,1,0,1,0,17.0
Security System,1,0,1,0,0,1,14.0
Calculated Property,1,0,1,0,1,0,12.0
Views,1,0,1,0,0,0,23.8
Criteria,1,0,1,0,0,0,24.0
Lookup Property Editors,1,0,0,1,0,0,6.0
Web API Service,1,0,0,1,0,1,14.4
Conditional Appearance,1,0,1,0,0,1,24.0
Controller Types,1,0,0,1,0,1,17.0
Reports V2,1,0,1,0,1,0,12.0
List View,1,0,1,0,1,0,16.0
Database Connection,1,0,0,1,0,0,15.0
