section_id,doc_id,api_id,api_name,api_type,namespace
CustomizePopupWindowParamsEventHandler::1,data/raw_md/apidoc/DevExpress.ExpressApp.Actions/CustomizePopupWindowParamsEventHandler,DevExpress.ExpressApp.Actions.CustomizePopupWindowParamsEventArgs,CustomizePopupWindowParamsEventArgs,delegate,DevExpress.ExpressApp.Actions
CustomizePopupWindowParamsEventHandler::1,data/raw_md/apidoc/DevExpress.ExpressApp.Actions/CustomizePopupWindowParamsEventHandler,DevExpress.ExpressApp.Actions.CustomizePopupWindowParamsEventHandler,CustomizePopupWindowParamsEventHandler,delegate,DevExpress.ExpressApp.Actions
ParametrizedActionExecuteEventHandler::1,data/raw_md/apidoc/DevExpress.ExpressApp.Actions/ParametrizedActionExecuteEventHandler,DevExpress.ExpressApp.Actions.ParametrizedActionExecuteEventArgs,ParametrizedActionExecuteEventArgs,delegate,DevExpress.ExpressApp.Actions
ParametrizedActionExecuteEventHandler::1,data/raw_md/apidoc/DevExpress.ExpressApp.Actions/ParametrizedActionExecuteEventHandler,DevExpress.ExpressApp.Actions.ParametrizedActionExecuteEventHandler,ParametrizedActionExecuteEventHandler,delegate,DevExpress.ExpressApp.Actions
PopupWindowShowActionExecuteEventHandler::1,data/raw_md/apidoc/DevExpress.ExpressApp.Actions/PopupWindowShowActionExecuteEventHandler,DevExpress.ExpressApp.Actions.PopupWindowShowActionExecuteEventArgs,PopupWindowShowActionExecuteEventArgs,delegate,DevExpress.ExpressApp.Actions
PopupWindowShowActionExecuteEventHandler::1,data/raw_md/apidoc/DevExpress.ExpressApp.Actions/PopupWindowShowActionExecuteEventHandler,DevExpress.ExpressApp.Actions.PopupWindowShowActionExecuteEventHandler,PopupWindowShowActionExecuteEventHandler,delegate,DevExpress.ExpressApp.Actions
SimpleActionExecuteEventHandler::1,data/raw_md/apidoc/DevExpress.ExpressApp.Actions/SimpleActionExecuteEventHandler,DevExpress.ExpressApp.Actions.SimpleActionExecuteEventArgs,SimpleActionExecuteEventArgs,delegate,DevExpress.ExpressApp.Actions
SimpleActionExecuteEventHandler::1,data/raw_md/apidoc/DevExpress.ExpressApp.Actions/SimpleActionExecuteEventHandler,DevExpress.ExpressApp.Actions.SimpleActionExecuteEventHandler,SimpleActionExecuteEventHandler,delegate,DevExpress.ExpressApp.Actions
SingleChoiceActionExecuteEventHandler::1,data/raw_md/apidoc/DevExpress.ExpressApp.Actions/SingleChoiceActionExecuteEventHandler,DevExpress.ExpressApp.Actions.SingleChoiceActionExecuteEventArgs,SingleChoiceActionExecuteEventArgs,delegate,DevExpress.ExpressApp.Actions
SingleChoiceActionExecuteEventHandler::1,data/raw_md/apidoc/DevExpress.ExpressApp.Actions/SingleChoiceActionExecuteEventHandler,DevExpress.ExpressApp.Actions.SingleChoiceActionExecuteEventHandler,SingleChoiceActionExecuteEventHandler,delegate,DevExpress.ExpressApp.Actions
