doc_id,title,doc_type,word_count,uid
data/raw_md/apidoc/DevExpress.Persistent.Validation/ContextIdentifier/Delete1135213,Delete1135213,Field,0,DevExpress.Persistent.Validation.ContextIdentifier.Delete
data/raw_md/apidoc/DevExpress.Persistent.Validation/ContextIdentifier/Save1135214,Save1135214,Field,0,DevExpress.Persistent.Validation.ContextIdentifier.Save
data/raw_md/apidoc/DevExpress.Persistent.Validation/ContextIdentifiers/Separator,Separator,Field,0,DevExpress.Persistent.Validation.ContextIdentifiers.Separator
data/raw_md/apidoc/DevExpress.Persistent.Validation/CriteriaEvaluationBehavior/BeforeTransaction1137210,BeforeTransaction1137210,Field,0,DevExpress.Persistent.Validation.CriteriaEvaluationBehavior.BeforeTransaction
data/raw_md/apidoc/DevExpress.Persistent.Validation/CriteriaEvaluationBehavior/InTransaction1137211,InTransaction1137211,Field,0,DevExpress.Persistent.Validation.CriteriaEvaluationBehavior.InTransaction
data/raw_md/apidoc/DevExpress.Persistent.Validation/DefaultContexts/Delete1132622,Delete1132622,Field,0,DevExpress.Persistent.Validation.DefaultContexts.Delete
data/raw_md/apidoc/DevExpress.Persistent.Validation/DefaultContexts/Save1132623,Save1132623,Field,0,DevExpress.Persistent.Validation.DefaultContexts.Save
data/raw_md/apidoc/DevExpress.Persistent.Validation/ParametersMode/Expression1134547,Expression1134547,Field,0,DevExpress.Persistent.Validation.ParametersMode.Expression
data/raw_md/apidoc/DevExpress.Persistent.Validation/ParametersMode/Value1134548,Value1134548,Field,0,DevExpress.Persistent.Validation.ParametersMode.Value
data/raw_md/apidoc/DevExpress.Persistent.Validation/RuleBase/PropertiesCustomMessageTemplate1132724,PropertiesCustomMessageTemplate1132724,Field,0,DevExpress.Persistent.Validation.RuleBase.PropertiesCustomMessageTemplate
data/raw_md/apidoc/DevExpress.Persistent.Validation/RuleBase/PropertiesId1132725,PropertiesId1132725,Field,0,DevExpress.Persistent.Validation.RuleBase.PropertiesId
data/raw_md/apidoc/DevExpress.Persistent.Validation/RuleBase/PropertiesInvertResult1132726,PropertiesInvertResult1132726,Field,0,DevExpress.Persistent.Validation.RuleBase.PropertiesInvertResult
data/raw_md/apidoc/DevExpress.Persistent.Validation/RuleBase/PropertiesMessageTemplateCollectionValidationMessageSuffix1132727,PropertiesMessageTemplateCollectionValidationMessageSuffix1132727,Field,0,DevExpress.Persistent.Validation.RuleBase.PropertiesMessageTemplateCollectionValidationMessageSuffix
data/raw_md/apidoc/DevExpress.Persistent.Validation/RuleBase/PropertiesMessageTemplateSkipNullOrEmptyValues1132728,PropertiesMessageTemplateSkipNullOrEmptyValues1132728,Field,0,DevExpress.Persistent.Validation.RuleBase.PropertiesMessageTemplateSkipNullOrEmptyValues
data/raw_md/apidoc/DevExpress.Persistent.Validation/RuleBase/PropertiesMessageTemplateTargetDoesNotSatisfyCollectionCriteria1132729,PropertiesMessageTemplateTargetDoesNotSatisfyCollectionCriteria1132729,Field,0,DevExpress.Persistent.Validation.RuleBase.PropertiesMessageTemplateTargetDoesNotSatisfyCollectionCriteria
