source_doc,source_section,source_is_api,source_title,source_h_path,target_doc,target_section,target_is_api,target_title,target_h_path,similarity,pair_kind,shared_concepts,shared_platforms,shared_apis,gates,would_pass_gate
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects,GetObjects::1,True,GetObjects,,data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects``1,GetObjects``1::1,True,GetObjects``1,,0.9839,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects,GetObjects::1,True,GetObjects,,data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjectsQuery``1_1,GetObjectsQuery``1_1::1,True,GetObjectsQuery``1_1,,0.9102,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects,GetObjects::1,True,GetObjects,,data/raw_md/apidoc/DevExpress.ExpressApp/IObjectSpace/GetObjects1163714,GetObjects1163714::1,True,C#,,0.9082,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects,GetObjects::1,True,GetObjects,,data/raw_md/apidoc/DevExpress.ExpressApp/BaseObjectSpace/GetObjects1163708,GetObjects1163708::1,True,C#,,0.9054,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects,GetObjects::1,True,GetObjects,,data/raw_md/apidoc/DevExpress.ExpressApp/BaseObjectSpace/GetObjects``11163709,GetObjects``11163709::1,True,C#,,0.8843,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects,GetObjects::1,True,GetObjects,,data/raw_md/apidoc/DevExpress.ExpressApp/FetchObjectsEventArgs/#ctor,#ctor::1,True,#ctor,,0.8811,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects,GetObjects::1,True,GetObjects,,data/raw_md/apidoc/DevExpress.ExpressApp/IObjectSpace/GetObjects``11163715,GetObjects``11163715::1,True,C#,,0.8681,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects,GetObjects::1,True,GetObjects,,data/raw_md/apidoc/DevExpress.ExpressApp/BaseObjectSpace/CreateCollection1137116,CreateCollection1137116::1,True,CreateCollection1137116,,0.8524,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects,GetObjects::1,True,GetObjects,,data/raw_md/apidoc/DevExpress.ExpressApp/IObjectSpace/CreateCollection1137131,CreateCollection1137131::1,True,CreateCollection1137131,,0.8501,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects,GetObjects::1,True,GetObjects,,data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/Evaluate,Evaluate::1,True,Evaluate,,0.8376,api→api,Criteria,,,concept_overlap,True
