source_doc,source_section,source_is_api,source_concepts,target_doc,target_section,target_is_api,target_concepts,similarity,priority_score,is_cross_corpus,max_tickets,pair_type,similarity_band
data/raw_md/articles/ui-construction/controllers-and-actions/determine-an-actions-controller-and-identifier,determine-an-actions-controller-and-identifier::6,False,[],data/raw_md/apidoc/DevExpress.ExpressApp.Actions/PopupWindowShowAction/#ctor1130346,#ctor1130346::1,True,"['Action Containers' 'Action State Management' 'Action Types' 'Actions'
 'Popup Window Show Action' 'Windows']",0.7498763799667358,2.2496291399002075,True,717,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.Actions/PopupWindowShowAction/#ctor1130346,#ctor1130346::1,True,"['Action Containers' 'Action State Management' 'Action Types' 'Actions'
 'Popup Window Show Action' 'Windows']",data/raw_md/articles/ui-construction/controllers-and-actions/determine-an-actions-controller-and-identifier,determine-an-actions-controller-and-identifier::6,False,[],0.7498763799667358,2.2496291399002075,True,717,ac,0.70-0.75
data/raw_md/articles/analytics/dashboards/supply-dashboard-parameters,supply-dashboard-parameters::8,False,"['.NET Runtime' 'Blazor' 'Dashboard View' 'Dashboards' 'View Types'
 'Views']",data/raw_md/apidoc/DevExpress.ExpressApp.Dashboards.Blazor.Components/BlazorDashboardViewerViewItem/#ctor,#ctor::1,True,['Blazor' 'Dashboards' 'View Items' 'Views'],0.7498235106468201,2.24947053194046,True,2772,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.Dashboards.Blazor.Components/BlazorDashboardViewerViewItem/#ctor,#ctor::1,True,['Blazor' 'Dashboards' 'View Items' 'Views'],data/raw_md/articles/analytics/dashboards/supply-dashboard-parameters,supply-dashboard-parameters::8,False,"['.NET Runtime' 'Blazor' 'Dashboard View' 'Dashboards' 'View Types'
 'Views']",0.7498235106468201,2.24947053194046,True,2772,ac,0.70-0.75
data/raw_md/articles/data-security-and-safety/security-system/authentication/customize-standard-authentication-behavior-and-supply-additional-logon-parameters/customize-authentication-behavior-net,customize-authentication-behavior-net::14,False,['Blazor' 'Business Object'],data/raw_md/apidoc/DevExpress.ExpressApp.Utils/ICustomObjectSerialize/ICustomObjectSerialize,ICustomObjectSerialize::2,True,"['Blazor' 'Business Object' 'Entity Framework Core' 'Project Wizards'
 'WinForms' 'Windows' 'XAF Application']",0.749796986579895,2.249390959739685,True,470,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.Utils/ICustomObjectSerialize/ICustomObjectSerialize,ICustomObjectSerialize::2,True,"['Blazor' 'Business Object' 'Entity Framework Core' 'Project Wizards'
 'WinForms' 'Windows' 'XAF Application']",data/raw_md/articles/data-security-and-safety/security-system/authentication/customize-standard-authentication-behavior-and-supply-additional-logon-parameters/customize-authentication-behavior-net,customize-authentication-behavior-net::14,False,['Blazor' 'Business Object'],0.749796986579895,2.249390959739685,True,470,ac,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp/ListView/Editor1129858,Editor1129858::1,True,"['.NET Runtime' 'Blazor' 'List Editors' 'List View' 'View Types' 'Views'
 'WinForms' 'Windows' 'XAF Application']",data/raw_md/articles/ui-construction/ways-to-access-ui-elements-and-their-controls/ways-to-access-ui-elements-and-their-controls,ways-to-access-ui-elements-and-their-controls::16,False,"['Collection Property Editors' 'Controllers and Actions' 'Detail View'
 'List Editors' 'List View' 'Property Editor Types' 'Property Editors'
 'Scheduler' 'Tree List' 'View Items' 'View Types' 'Views']",0.749777615070343,2.249332845211029,True,2772,ac,0.70-0.75
data/raw_md/articles/ui-construction/ways-to-access-ui-elements-and-their-controls/ways-to-access-ui-elements-and-their-controls,ways-to-access-ui-elements-and-their-controls::16,False,"['Collection Property Editors' 'Controllers and Actions' 'Detail View'
 'List Editors' 'List View' 'Property Editor Types' 'Property Editors'
 'Scheduler' 'Tree List' 'View Items' 'View Types' 'Views']",data/raw_md/apidoc/DevExpress.ExpressApp/ListView/Editor1129858,Editor1129858::1,True,"['.NET Runtime' 'Blazor' 'List Editors' 'List View' 'View Types' 'Views'
 'WinForms' 'Windows' 'XAF Application']",0.749777615070343,2.249332845211029,True,2772,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.Chart.Win/ChartListEditor/ChartListEditor,ChartListEditor::1,True,"['Entity Framework Core' 'List Editors' 'List View'
 'List View Data Access Modes' 'View Types' 'Views' 'WinForms' 'Windows']",data/raw_md/articles/analytics/chart-module,chart-module::4,False,"['.NET Runtime' 'Application Model' 'Blazor' 'List Editors' 'List View'
 'Model Editor' 'View Types' 'Views' 'WinForms' 'Windows']",0.7497477531433105,2.2492432594299316,True,2772,ac,0.70-0.75
data/raw_md/articles/analytics/chart-module,chart-module::4,False,"['.NET Runtime' 'Application Model' 'Blazor' 'List Editors' 'List View'
 'Model Editor' 'View Types' 'Views' 'WinForms' 'Windows']",data/raw_md/apidoc/DevExpress.ExpressApp.Chart.Win/ChartListEditor/ChartListEditor,ChartListEditor::1,True,"['Entity Framework Core' 'List Editors' 'List View'
 'List View Data Access Modes' 'View Types' 'Views' 'WinForms' 'Windows']",0.7497477531433105,2.2492432594299316,True,2772,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.Dashboards.Blazor/StartupExtensions/StartupExtensions,StartupExtensions::1,True,['.NET Runtime' 'Blazor' 'Dashboards'],data/raw_md/articles/analytics/dashboards/supply-dashboard-parameters,supply-dashboard-parameters::4,False,"['.NET Runtime' 'ApplicationBuilder' 'Blazor' 'Dashboard View'
 'Dashboards' 'View Types' 'Views']",0.749710202217102,2.249130606651306,True,2772,ac,0.70-0.75
data/raw_md/articles/analytics/dashboards/supply-dashboard-parameters,supply-dashboard-parameters::4,False,"['.NET Runtime' 'ApplicationBuilder' 'Blazor' 'Dashboard View'
 'Dashboards' 'View Types' 'Views']",data/raw_md/apidoc/DevExpress.ExpressApp.Dashboards.Blazor/StartupExtensions/StartupExtensions,StartupExtensions::1,True,['.NET Runtime' 'Blazor' 'Dashboards'],0.749710202217102,2.249130606651306,True,2772,ca,0.70-0.75
