source_doc,source_section,target_doc,target_section,relationship_type,relationship_confidence,relationship_bidirectional,sim_score,source_concepts,target_concepts,source_is_api,target_is_api,classification_source,src_type,tgt_type
data/raw_md/articles/data-security-and-safety/security-system/authentication/authentication-architecture-blazor,authentication-architecture-blazor::13,data/raw_md/apidoc/DevExpress.ExpressApp.Security/AuthenticationStandardEvents/OnCustomizeLoginToken,OnCustomizeLoginToken::4,related_to,0.4,False,0.9558404684066772,[],[],False,True,llm,Conceptual,API Reference
data/raw_md/apidoc/DevExpress.ExpressApp.Security/AuthenticationStandardEvents/OnCustomizeClaims,OnCustomizeClaims::3,data/raw_md/articles/data-security-and-safety/security-system/authentication/authentication-architecture-blazor,authentication-architecture-blazor::12,related_to,0.62,True,0.9329887628555298,[],[],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.CloneObject/CloneObjectViewController/CustomCloneObject,CustomCloneObject::3,data/raw_md/articles/document-management/clone-object-module,clone-object-module::11,related_to,0.5,False,0.9264528751373291,[],[],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp/IObjectSpace/CustomDeleteObjects1134390,CustomDeleteObjects1134390::2,data/raw_md/articles/data-manipulation-and-business-logic/create-read-update-and-delete-data/delete-objects-from-database,delete-objects-from-database::5,related_to,0.7,True,0.9070286154747009,[],[],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/ListViewFilterAttribute,ListViewFilterAttribute::2,data/raw_md/articles/filtering/in-list-view/filters-application-model-node,filters-application-model-node::6,related_to,0.6,False,0.9039691686630249,[],[],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Priority1134109,Priority1134109::3,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::7,related_to,0.72,True,0.8949923515319824,[],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/FontColor1134106,FontColor1134106::3,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::11,related_to,0.72,True,0.873297393321991,[],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/FontColor1134106,FontColor1134106::3,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::9,related_to,0.62,True,0.8684139251708984,[],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.SystemModule/GridExportEventArgsBase`1/Options,Options::2,data/raw_md/articles/shape-export-print-data/printing-exporting-in-list-view/how-to-customize-the-export-action-behavior,how-to-customize-the-export-action-behavior::9,related_to,0.6,False,0.8605554699897766,[],[],True,False,llm,API Reference,How-to Task
data/raw_md/apidoc/DevExpress.ExpressApp/IObjectSpace/Committed1134385,Committed1134385::1,data/raw_md/articles/data-manipulation-and-business-logic/create-read-update-and-delete-data/save-objects-to-database,save-objects-to-database::5,related_to,0.62,False,0.8589317798614502,[],[],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.SystemModule/BlazorExportController/GridExported,GridExported::2,data/raw_md/articles/shape-export-print-data/printing-exporting-in-list-view/how-to-customize-the-export-action-behavior,how-to-customize-the-export-action-behavior::11,related_to,0.6,False,0.8549312949180603,[],[],True,False,llm,API Reference,How-to Task
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/TargetItems1134110,TargetItems1134110::4,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::12,related_to,0.55,False,0.8414679169654846,[],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp/XafApplication/Setup1130419,Setup1130419::1,data/raw_md/articles/debugging-testing-and-error-handling/code-diagnostics/xaf0012,xaf0012::1,related_to,0.6,False,0.8385000824928284,['Object Space' 'XAF Application'],['Object Space' 'XAF Application'],True,False,llm,API Reference,Conceptual
data/raw_md/articles/localization/localize-an-xaf-application,localize-an-xaf-application::10,data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Services/IXafCultureInfoService/CurrentCulture,CurrentCulture::1,related_to,0.55,False,0.8337247371673584,[],['Localization'],False,True,llm,Conceptual,API Reference
