doc_id,section_id,is_api,platforms,connections,concepts
data/raw_md/articles/backend-web-api-service/obtain-a-report-from-a-web-api-controller-endpoint,obtain-a-report-from-a-web-api-controller-endpoint::16,False,[],20,['Report Parameters' 'Reports' 'Template Kit']
data/raw_md/articles/backend-web-api-service/obtain-a-report-from-a-web-api-controller-endpoint,obtain-a-report-from-a-web-api-controller-endpoint::17,False,[],4,['Report Parameters' 'Reports' 'Template Kit']
data/raw_md/articles/validation/validate-report-parameters,validate-report-parameters::1,False,[],23,['Report Parameters' 'Reports']
data/raw_md/articles/validation/validate-report-parameters,validate-report-parameters::2,False,[],15,"['Application Model' 'Model Editor' 'Report Parameters' 'Reports'
 'Reports V2']"
data/raw_md/articles/validation/validate-report-parameters,validate-report-parameters::3,False,[],9,['Application Model' 'Model Editor' 'Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-calculated-fields-expressions,how-to-access-the-report-parameters-object-in-calculated-fields-expressions::1,False,[],22,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-calculated-fields-expressions,how-to-access-the-report-parameters-object-in-calculated-fields-expressions::2,False,[],36,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-calculated-fields-expressions,how-to-access-the-report-parameters-object-in-calculated-fields-expressions::3,False,[],18,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-calculated-fields-expressions,how-to-access-the-report-parameters-object-in-calculated-fields-expressions::4,False,[],17,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-report-scripts,how-to-access-the-report-parameters-object-in-report-scripts::1,False,[],34,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-report-scripts,how-to-access-the-report-parameters-object-in-report-scripts::2,False,[],40,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-report-scripts,how-to-access-the-report-parameters-object-in-report-scripts::3,False,[],22,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-report-scripts,how-to-access-the-report-parameters-object-in-report-scripts::4,False,[],26,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-print-a-report-without-displaying-a-preview,how-to-print-a-report-without-displaying-a-preview::2,False,[],36,['Report Parameters' 'Reports']
data/raw_md/articles/filtering/in-reports/data-filtering-in-reports,data-filtering-in-reports::1,False,[],18,['Report Parameters' 'Reports']
data/raw_md/articles/filtering/in-reports/data-filtering-in-reports,data-filtering-in-reports::4,False,[],26,['Report Parameters' 'Reports']
data/raw_md/articles/filtering/in-reports/data-filtering-in-reports,data-filtering-in-reports::5,False,[],57,['Application Model' 'Model Editor' 'Report Parameters' 'Reports']
data/raw_md/articles/filtering/in-reports/data-filtering-in-reports,data-filtering-in-reports::6,False,[],49,['Report Parameters' 'Reports']
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl.EF/ReportDataV2/ParametersObjectType1137974,ParametersObjectType1137974::1,True,[],17,['Report Parameters' 'Reports']
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl/ReportDataV2/ParametersObjectType1137734,ParametersObjectType1137734::1,True,[],21,['Report Parameters' 'Reports']
data/raw_md/apidoc/DevExpress.Persistent.Base.ReportsV2/DataSourceBase/UpdateCriteriaWithReportParameters,UpdateCriteriaWithReportParameters::1,True,[],1,['Report Parameters' 'Reports']
