doc_id,section_id,is_api,platforms,connections,concepts
data/raw_md/articles/backend-web-api-service/obtain-a-report-from-a-web-api-controller-endpoint,obtain-a-report-from-a-web-api-controller-endpoint::2,False,[],13,['Reports']
data/raw_md/articles/backend-web-api-service/obtain-a-report-from-a-web-api-controller-endpoint,obtain-a-report-from-a-web-api-controller-endpoint::16,False,[],20,['Report Parameters' 'Reports' 'Template Kit']
data/raw_md/articles/backend-web-api-service/obtain-a-report-from-a-web-api-controller-endpoint,obtain-a-report-from-a-web-api-controller-endpoint::17,False,[],4,['Report Parameters' 'Reports' 'Template Kit']
data/raw_md/articles/validation/validate-report-parameters,validate-report-parameters::1,False,[],23,['Report Parameters' 'Reports']
data/raw_md/articles/validation/validate-report-parameters,validate-report-parameters::2,False,[],15,"['Application Model' 'Model Editor' 'Report Parameters' 'Reports'
 'Reports V2']"
data/raw_md/articles/validation/validate-report-parameters,validate-report-parameters::3,False,[],9,['Application Model' 'Model Editor' 'Report Parameters' 'Reports']
data/raw_md/articles/ui-construction/controllers-and-actions/built-in-controllers-and-actions/built-in-controllers-and-actions-in-extra-modules,built-in-controllers-and-actions-in-extra-modules::51,False,[],38,['Reports']
data/raw_md/articles/ui-construction/controllers-and-actions/built-in-controllers-and-actions/built-in-controllers-and-actions-in-extra-modules,built-in-controllers-and-actions-in-extra-modules::58,False,[],16,['Reports']
data/raw_md/articles/ui-construction/controllers-and-actions/built-in-controllers-and-actions/built-in-controllers-and-actions-in-extra-modules,built-in-controllers-and-actions-in-extra-modules::59,False,[],26,['Reports']
data/raw_md/articles/shape-export-print-data/reports/add-reports-module-to-an-existing-xaf-application,add-reports-module-to-an-existing-xaf-application::1,False,[],41,['Package Management' 'Reports' 'Reports V2' 'XAF Application']
data/raw_md/articles/shape-export-print-data/reports/create-and-view-reports-in-a-blazor-application,create-and-view-reports-in-a-blazor-application::4,False,[],18,['Reports']
data/raw_md/articles/shape-export-print-data/reports/create-predefined-static-reports,create-predefined-static-reports::1,False,[],33,['Reports']
data/raw_md/articles/shape-export-print-data/reports/create-predefined-static-reports,create-predefined-static-reports::2,False,[],12,['Reports']
data/raw_md/articles/shape-export-print-data/reports/data-sorting-in-reports-v2,data-sorting-in-reports-v2::2,False,[],12,['Reports']
data/raw_md/articles/shape-export-print-data/reports/data-sources-for-reports-v2,data-sources-for-reports-v2::1,False,[],37,['Reports' 'Reports V2']
data/raw_md/articles/shape-export-print-data/reports/data-sources-for-reports-v2,data-sources-for-reports-v2::2,False,[],18,['Reports']
data/raw_md/articles/shape-export-print-data/reports/in-place-reports,in-place-reports::1,False,[],25,['Reports']
data/raw_md/articles/shape-export-print-data/reports/reports-v2-module-overview,reports-v2-module-overview::1,False,[],28,['Reports' 'Reports V2']
data/raw_md/articles/shape-export-print-data/reports/reports-v2-module-overview,reports-v2-module-overview::2,False,[],27,['Reports']
data/raw_md/articles/shape-export-print-data/reports/reports-v2-module-overview,reports-v2-module-overview::3,False,[],41,['Reports']
data/raw_md/articles/shape-export-print-data/reports/reports-v2-module-overview,reports-v2-module-overview::4,False,[],29,['Reports']
data/raw_md/articles/shape-export-print-data/reports/reports-v2-module-overview,reports-v2-module-overview::5,False,[],50,['Reports' 'Reports V2']
data/raw_md/articles/shape-export-print-data/reports/reports-v2-module-overview,reports-v2-module-overview::6,False,[],60,['Reports' 'Reports V2']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-designer-control-blazor,how-to-access-the-report-designer-control-blazor::1,False,[],22,['Package Management' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-designer-control-blazor,how-to-access-the-report-designer-control-blazor::2,False,[],21,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-calculated-fields-expressions,how-to-access-the-report-parameters-object-in-calculated-fields-expressions::1,False,[],22,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-calculated-fields-expressions,how-to-access-the-report-parameters-object-in-calculated-fields-expressions::2,False,[],36,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-calculated-fields-expressions,how-to-access-the-report-parameters-object-in-calculated-fields-expressions::3,False,[],18,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-calculated-fields-expressions,how-to-access-the-report-parameters-object-in-calculated-fields-expressions::4,False,[],17,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-report-scripts,how-to-access-the-report-parameters-object-in-report-scripts::1,False,[],34,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-report-scripts,how-to-access-the-report-parameters-object-in-report-scripts::2,False,[],40,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-report-scripts,how-to-access-the-report-parameters-object-in-report-scripts::3,False,[],22,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-report-scripts,how-to-access-the-report-parameters-object-in-report-scripts::4,False,[],26,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-preview-control-blazor,how-to-access-the-report-preview-control-blazor::1,False,[],21,['Reports' 'Reports V2']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::2,False,[],25,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::3,False,[],33,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::4,False,[],30,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::6,False,[],25,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::7,False,[],26,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::8,False,[],24,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::9,False,[],30,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::10,False,[],26,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::11,False,[],35,['Reports']
