source_doc,source_section,source_is_api,source_concepts,target_doc,target_section,target_is_api,target_concepts,similarity,priority_score,is_cross_corpus,gates_passed
data/raw_md/apidoc/DevExpress.ExpressApp.Security.Authentication/WindowsActiveDirectoryAuthenticationProviderEvents/OnCustomizeClaims,OnCustomizeClaims::4,True,[],data/raw_md/articles/data-security-and-safety/security-system/authentication/authentication-architecture-blazor,authentication-architecture-blazor::13,False,[],0.9558404684066772,1.4337607026100159,True,['xref_link']
data/raw_md/articles/data-security-and-safety/security-system/authentication/authentication-architecture-blazor,authentication-architecture-blazor::13,False,[],data/raw_md/apidoc/DevExpress.ExpressApp.Security/AuthenticationStandardEvents/OnCustomizeLoginToken,OnCustomizeLoginToken::4,True,[],0.9558404684066772,1.4337607026100159,True,['xref_link']
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Criteria1134104,Criteria1134104::7,True,[],data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::14,False,['Conditional Appearance'],0.9543824195861816,1.4315736293792725,True,['xref_link']
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::14,False,['Conditional Appearance'],data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/AppearanceItemType1134798,AppearanceItemType1134798::9,True,[],0.9543824195861816,1.4315736293792725,True,['xref_link']
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Context1134103,Context1134103::9,True,[],data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::14,False,['Conditional Appearance'],0.9543824195861816,1.4315736293792725,True,['xref_link']
data/raw_md/articles/document-management/clone-object-module,clone-object-module::10,False,[],data/raw_md/apidoc/DevExpress.ExpressApp.CloneObject/CloneObjectViewController/CustomCloneObject,CustomCloneObject::2,True,['Entity Framework Core'],0.9507582187652588,1.4261373281478882,True,['xref_link']
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::8,False,['Conditional Appearance'],data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Priority1134109,Priority1134109::4,True,[],0.9506474733352661,1.4259712100028992,True,['xref_link']
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::8,False,['Conditional Appearance'],data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/FontColor1134106,FontColor1134106::2,True,[],0.9506474733352661,1.4259712100028992,True,['xref_link']
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/#ctor1134797,#ctor1134797::3,True,[],data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::8,False,['Conditional Appearance'],0.9506474733352661,1.4259712100028992,True,['xref_link']
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Criteria1134104,Criteria1134104::4,True,[],data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::8,False,['Conditional Appearance'],0.9506474733352661,1.4259712100028992,True,['xref_link']
data/raw_md/articles/data-security-and-safety/security-system/security-object-model/assign-an-image-to-a-user,assign-an-image-to-a-user::3,False,[],data/raw_md/apidoc/DevExpress.Persistent.Base/CurrentUserDisplayImageAttribute/CurrentUserDisplayImageAttribute,CurrentUserDisplayImageAttribute::2,True,[],0.9488841891288757,1.4233262836933136,True,['xref_link']
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::10,False,['Conditional Appearance'],data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/AppearanceItemType1134798,AppearanceItemType1134798::6,True,[],0.9468317627906799,1.42024764418602,True,['xref_link']
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Context1134103,Context1134103::6,True,[],data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::6,False,['Conditional Appearance'],0.946804404258728,1.420206606388092,True,['xref_link']
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::6,False,['Conditional Appearance'],data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Priority1134109,Priority1134109::2,True,[],0.946804404258728,1.420206606388092,True,['xref_link']
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::6,False,['Conditional Appearance'],data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/AppearanceItemType1134798,AppearanceItemType1134798::3,True,[],0.946804404258728,1.420206606388092,True,['xref_link']
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::6,False,['Conditional Appearance'],data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/BackColor1134102,BackColor1134102::2,True,[],0.946804404258728,1.420206606388092,True,['xref_link']
data/raw_md/articles/backend-web-api-service/authentication-in-web-api-applications/enable-jwt-authentication,enable-jwt-authentication::11,False,['Authentication' 'Security System'],data/raw_md/apidoc/DevExpress.ExpressApp.Security/SignInManager/AuthenticateByLogonParameters,AuthenticateByLogonParameters::3,True,['Authentication' 'Security System'],0.9453279972076416,1.4179919958114624,True,['concept_overlap']
data/raw_md/articles/backend-web-api-service/authentication-in-web-api-applications/enable-jwt-authentication,enable-jwt-authentication::11,False,['Authentication' 'Security System'],data/raw_md/apidoc/DevExpress.ExpressApp.Security/SignInManager/SignInManager,SignInManager::2,True,['Authentication' 'Security System'],0.9453279972076416,1.4179919958114624,True,['concept_overlap']
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::16,False,['Conditional Appearance'],data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Method1134108,Method1134108::2,True,[],0.9446765780448914,1.417014867067337,True,['xref_link']
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::17,False,['Conditional Appearance'],data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Method1134108,Method1134108::3,True,['Conditional Appearance'],0.9421171545982361,1.4131757318973541,True,['xref_link']
data/raw_md/articles/document-management/clone-object-module,clone-object-module::10,False,[],data/raw_md/apidoc/DevExpress.ExpressApp.CloneObject/CloneObjectViewController/CustomCloneObject,CustomCloneObject::3,True,[],0.9414831399917603,1.4122247099876404,True,['xref_link']
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::12,False,['Conditional Appearance'],data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/TargetItems1134110,TargetItems1134110::3,True,[],0.9379256367683411,1.4068884551525116,True,['xref_link']
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/FontColor1134106,FontColor1134106::4,True,[],data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::12,False,['Conditional Appearance'],0.9379256367683411,1.4068884551525116,True,['xref_link']
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::12,False,['Conditional Appearance'],data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Context1134103,Context1134103::3,True,[],0.9379256367683411,1.4068884551525116,True,['xref_link']
data/raw_md/apidoc/DevExpress.ExpressApp.Security/AuthenticationStandardEvents/OnCustomizeClaims,OnCustomizeClaims::3,True,[],data/raw_md/articles/data-security-and-safety/security-system/authentication/authentication-architecture-blazor,authentication-architecture-blazor::12,False,[],0.9329887628555298,1.3994831442832947,True,['xref_link']
data/raw_md/apidoc/DevExpress.ExpressApp.Security/AuthenticationStandardEvents/OnCustomizeLoginToken,OnCustomizeLoginToken::3,True,[],data/raw_md/articles/data-security-and-safety/security-system/authentication/authentication-architecture-blazor,authentication-architecture-blazor::12,False,[],0.9329887628555298,1.3994831442832947,True,['xref_link']
data/raw_md/articles/filtering/in-list-view/filters-application-model-node,filters-application-model-node::5,False,[],data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/ListViewFilterAttribute,ListViewFilterAttribute::2,True,[],0.9323360919952393,1.3985041379928589,True,['xref_link']
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/ListViewFilterAttribute,ListViewFilterAttribute::2,True,[],data/raw_md/articles/filtering/in-list-view/list-view-filter-attribute,list-view-filter-attribute::3,False,[],0.930691123008728,1.396036684513092,True,['xref_link']
data/raw_md/articles/data-security-and-safety/security-system/security-object-model/assign-an-image-to-a-user,assign-an-image-to-a-user::4,False,[],data/raw_md/apidoc/DevExpress.Persistent.Base/CurrentUserDisplayImageAttribute/CurrentUserDisplayImageAttribute,CurrentUserDisplayImageAttribute::3,True,[],0.9265251159667969,1.3897876739501953,True,['xref_link']
data/raw_md/apidoc/DevExpress.ExpressApp.CloneObject/CloneObjectViewController/CustomCloneObject,CustomCloneObject::3,True,[],data/raw_md/articles/document-management/clone-object-module,clone-object-module::11,False,[],0.9264528751373291,1.3896793127059937,True,['xref_link']
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::10,False,['Conditional Appearance'],data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Priority1134109,Priority1134109::4,True,[],0.9224061369895935,1.3836092054843903,True,['xref_link']
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::10,False,['Conditional Appearance'],data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/#ctor1134797,#ctor1134797::3,True,[],0.9224061369895935,1.3836092054843903,True,['xref_link']
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Criteria1134104,Criteria1134104::4,True,[],data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::10,False,['Conditional Appearance'],0.9224061369895935,1.3836092054843903,True,['xref_link']
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/FontColor1134106,FontColor1134106::2,True,[],data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::10,False,['Conditional Appearance'],0.9224061369895935,1.3836092054843903,True,['xref_link']
data/raw_md/apidoc/DevExpress.ExpressApp.DC/OptimisticLockAttribute/OptimisticLockAttribute,OptimisticLockAttribute::2,True,['Entity Framework Core'],data/raw_md/articles/business-model-design-orm/business-model-design-with-entity-framework-core/optimistic-locking,optimistic-locking::7,False,['Entity Framework Core'],0.9215365052223206,1.3823047578334808,True,['xref_link']
data/raw_md/articles/shape-export-print-data/printing-exporting-in-list-view/how-to-customize-the-export-action-behavior,how-to-customize-the-export-action-behavior::11,False,[],data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.SystemModule/GridExportEventArgs/DocumentOptions,DocumentOptions::2,True,[],0.9168707132339478,1.3753060698509216,True,['xref_link']
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/AppearanceItemType1134798,AppearanceItemType1134798::6,True,[],data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::8,False,['Conditional Appearance'],0.9117141962051392,1.3675712943077087,True,['xref_link']
data/raw_md/articles/business-model-design-orm/business-model-design-with-entity-framework-core/optimistic-locking,optimistic-locking::16,False,['Entity Framework Core'],data/raw_md/apidoc/DevExpress.ExpressApp.DC/OptimisticLockAttribute/OptimisticLockAttribute,OptimisticLockAttribute::2,True,['Entity Framework Core'],0.9112150073051453,1.366822510957718,True,['xref_link']
data/raw_md/articles/business-model-design-orm/business-model-design-with-entity-framework-core/optimistic-locking,optimistic-locking::18,False,['Entity Framework Core'],data/raw_md/apidoc/DevExpress.ExpressApp.DC/OptimisticLockIgnoreAttribute/OptimisticLockIgnoreAttribute,OptimisticLockIgnoreAttribute::3,True,['Entity Framework Core'],0.9112045764923096,1.3668068647384644,True,['xref_link']
