document,concept_count,link_count,link_ratio
data/raw_md/articles/backend-web-api-service/use-odata-to-send-requests/http-requests-to-web-api,153,0,0.0
data/raw_md/articles/app-shell-and-base-infrastructure/application-personalization/getting-started-with-xaf-application-branding,149,0,0.0
data/raw_md/articles/multitenancy/convert-existing-application-into-multi-tenant-application,111,0,0.0
data/raw_md/articles/deployment/asp-net-core-blazor/deploy-net-core-application-to-linux-with-nginx,125,0,0.0
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,88,0,0.0
data/raw_md/articles/what-is-new/latest-release-notes,94,0,0.0
data/raw_md/articles/security-considerations/general-security-considerations,95,0,0.0
data/raw_md/articles/migration-to-net/migration-from-web-forms-to-blazor,105,0,0.0
data/raw_md/articles/support-qa-troubleshooting/frequently-asked-questions-blazor-faq,67,0,0.0
data/raw_md/articles/backend-web-api-service/obtain-a-report-from-a-web-api-controller-endpoint,74,0,0.0
data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-human-readable/easy-test-script-reference,69,0,0.0
data/raw_md/articles/backend-web-api-service/enable-audit-trail-module,71,0,0.0
data/raw_md/articles/backend-web-api-service/use-odata-to-send-requests/customize-odata-options,80,0,0.0
data/raw_md/articles/deployment/production-database-and-application-updates,72,0,0.0
data/raw_md/articles/debugging-testing-and-error-handling/log-files,81,0,0.0
data/raw_md/articles/getting-started,65,0,0.0
data/raw_md/articles/debugging-testing-and-error-handling/performance/orm-performance,56,0,0.0
data/raw_md/articles/business-model-design-orm/business-model-design-with-entity-framework-core/how-to-connect-data-models-to-different-databases,54,0,0.0
data/raw_md/articles/getting-started/basic-tutorial-blazor/define-the-data-model-and-set-the-initial-data-blazor,53,0,0.0
data/raw_md/articles/deployment/asp-net-core-blazor/deploy-net-core-application-to-iis,53,0,0.0
data/raw_md/articles/deployment/asp-net-core-blazor/deployment-recommendations-net-core,52,0,0.0
data/raw_md/articles/deployment/choose-an-appropriate-location-for-deployment,49,0,0.0
data/raw_md/articles/ui-construction/templates/winforms-application-templates,50,0,0.0
data/raw_md/articles/event-planning-and-notifications/scheduler/recurring-events,50,0,0.0
data/raw_md/articles/analytics/dashboards/open-a-detail-view-when-the-grid-row-is-clicked-in-the-dashboard-blazor,49,0,0.0
data/raw_md/articles/ui-construction/controllers-and-actions/actions/how-to-add-a-search-action-to-lookup-property-editors-and-link-pop-up-windows,50,0,0.0
data/raw_md/articles/deployment/asp-net-core-blazor/deploy-net-core-application-to-azure,57,0,0.0
data/raw_md/articles/data-security-and-safety/security-system/authentication/authentication-architecture-blazor,57,0,0.0
data/raw_md/articles/data-security-and-safety/security-system/authentication/oauth-and-custom-authentication/active-directory-and-oauth2-authentication-providers-in-winforms-applications,60,0,0.0
data/raw_md/articles/filtering/in-list-view/how-to-filter-a-link-dialogs-list-view,59,0,0.0
data/raw_md/articles/business-model-design-orm/non-persistent-objects/how-to-display-a-list-view-with-data-from-a-stored-procedure-from-the-navigation,65,0,0.0
data/raw_md/articles/app-shell-and-base-infrastructure/application-solution-components/modules/register-buil-in-xaf-module,49,0,0.0
data/raw_md/articles/document-management/office-module/mail-merge,47,0,0.0
data/raw_md/articles/backend-web-api-service/create-custom-endpoints,46,0,0.0
data/raw_md/articles/backend-web-api-service/manage-blob-data-through-web-api-controller-endpoint,48,0,0.0
data/raw_md/articles/installation-upgrade-version-history/dotnet-cli-integration,46,0,0.0
data/raw_md/articles/app-shell-and-base-infrastructure/blazor-application-appearance,157,2,0.012738853503184714
data/raw_md/articles/ui-construction/ways-to-access-ui-elements-and-their-controls/how-to-access-master-detail-view-and-nested-list-view-environment,120,2,0.016666666666666666
data/raw_md/articles/ui-construction/views/layout/list-view-column-generation,88,2,0.022727272727272728
data/raw_md/articles/document-management/office-module/office-module,73,2,0.0273972602739726
data/raw_md/articles/business-model-design-orm/non-persistent-objects/how-to-display-a-detail-view-with-data-from-a-stored-procedure-from-the-navigation,63,2,0.031746031746031744
data/raw_md/articles/app-shell-and-base-infrastructure/application-life-cycle/windows-forms-application-life-cycle/user-authentication-using-a-logon-window-in-windows-forms-applications,61,2,0.03278688524590164
data/raw_md/articles/ui-construction/controllers-and-actions/actions/how-to-replace-a-list-views-default-action,57,2,0.03508771929824561
data/raw_md/articles/document-management/office-module/customize-spreadsheet-editors,49,2,0.04081632653061224
data/raw_md/articles/overview/architecture,47,2,0.0425531914893617
data/raw_md/articles/ui-construction/views/layout/view-items-layout-customization-blazor,132,6,0.045454545454545456
data/raw_md/articles/analytics/dashboards/dashboard-performance-with-large-data-sources,72,4,0.05555555555555555
data/raw_md/articles/document-management/office-module/access-rich-text-editor-controls,117,7,0.05982905982905983
data/raw_md/articles/business-model-design-orm/business-model-design-with-xpo/relationships-between-persistent-objects-in-code-and-ui,63,4,0.06349206349206349
data/raw_md/articles/conditional-appearance,88,6,0.06818181818181818
data/raw_md/articles/ui-construction/view-items-and-property-editors/property-editors/display-and-edit-simple-type-values-in-a-lookup-property-editor,86,6,0.06976744186046512
data/raw_md/articles/ui-construction/views/layout/list-view-columns-customization,57,4,0.07017543859649122
data/raw_md/articles/ui-construction/view-items-and-property-editors/property-editors/use-criteria-property-editors,57,4,0.07017543859649122
data/raw_md/articles/business-model-design-orm/data-types-supported-by-built-in-editors/criteria-properties,80,6,0.075
data/raw_md/articles/app-shell-and-base-infrastructure/navigation-system,80,6,0.075
data/raw_md/articles/business-model-design-orm/data-types-supported-by-built-in-editors/numeric-properties,61,5,0.08196721311475409
data/raw_md/articles/ui-construction/views/list-view-edit-modes,103,10,0.0970873786407767
data/raw_md/articles/business-model-design-orm/how-to-specify-a-display-member-for-a-lookup-editor-detail-form-caption,52,6,0.11538461538461539
data/raw_md/articles/ui-construction/controllers-and-actions/actions/how-to-add-a-grid-column-with-an-action,46,6,0.13043478260869565
data/raw_md/articles/ui-construction/views,55,8,0.14545454545454545
data/raw_md/articles/app-shell-and-base-infrastructure/tree-list-editors/display-a-tree-list-with-flat-data-objects-asp-net-core-blazor,51,8,0.1568627450980392
data/raw_md/articles/ui-construction/views/layout/view-items-layout-customization,67,12,0.1791044776119403
